# Force coefficients
# liftDir     : (0.000000e+00 1.000000e+00 0.000000e+00)
# dragDir     : (1.000000e+00 0.000000e+00 0.000000e+00)
# pitchAxis   : (0.000000e+00 0.000000e+00 1.000000e+00)
# magUInf     : 1.000000e+00
# lRef        : 1.000000e+00
# Aref        : 1.000000e-01
# CofR        : (0.000000e+00 0.000000e+00 0.000000e+00)
# Time        	Cm            	Cd            	Cl            	Cl(f)         	Cl(r)         
0.005         	-5.906263e-09	3.708177e+02	-5.656942e-06	-2.834377e-06	-2.822565e-06
0.01          	-3.707507e-08	-1.075226e+01	8.223007e-06	4.074428e-06	4.148579e-06
0.015         	-3.022632e-07	2.342530e+01	-4.421648e-06	-2.513087e-06	-1.908561e-06
0.02          	-4.812663e-07	8.900670e+00	-7.044456e-07	-8.334891e-07	1.290435e-07
0.025         	-5.449164e-07	7.658540e+00	-3.218543e-06	-2.154188e-06	-1.064355e-06
0.03          	-5.285205e-07	4.045509e+00	-4.094872e-06	-2.575956e-06	-1.518915e-06
0.035         	-5.242338e-07	1.867122e+00	-5.427415e-06	-3.237941e-06	-2.189473e-06
0.04          	-5.017134e-07	5.453584e-01	-6.708308e-06	-3.855867e-06	-2.852440e-06
0.045         	-4.637952e-07	1.457780e+00	-8.719896e-06	-4.823743e-06	-3.896153e-06
0.05          	-5.020495e-07	6.355868e+00	-8.655453e-06	-4.829776e-06	-3.825677e-06
0.055         	-5.089347e-07	1.883459e+01	-4.915372e-06	-2.966621e-06	-1.948751e-06
0.06          	-5.558039e-07	4.209192e+01	2.799800e-06	8.440961e-07	1.955704e-06
0.065         	-6.742441e-07	7.924659e+01	6.954362e-06	2.802937e-06	4.151425e-06
0.07          	-6.361453e-07	1.368351e+02	-1.632115e-04	-8.224188e-05	-8.096959e-05
0.075         	-1.790548e-07	2.236786e+02	-4.284541e-04	-2.144061e-04	-2.140480e-04
0.08          	6.774857e-07	3.479637e+02	4.821467e-04	2.417509e-04	2.403959e-04
0.085         	1.198585e-06	4.720024e+02	3.424249e-04	1.724111e-04	1.700139e-04
0.09          	1.895530e-06	4.572702e+02	5.011538e-04	2.524724e-04	2.486813e-04
0.095         	-1.488300e-07	2.208211e+02	1.169668e-03	5.846851e-04	5.849828e-04
