# Forces      
# CofR        : (0.000000e+00 0.000000e+00 0.000000e+00)
# Time        forces(pressure viscous porous)	moments(pressure viscous porous)
0.005         	((1.750034e+01 -2.809793e-07 -8.550595e-21) (1.040543e+00 -1.867798e-09 -7.126455e-20) (0.000000e+00 0.000000e+00 0.000000e+00)) ((9.144384e-20 -4.352631e-19 2.482755e-14) (4.056253e-20 8.707978e-21 -2.953380e-10) (0.000000e+00 0.000000e+00 0.000000e+00))
0.01          	((-1.061619e+00 4.099452e-07 1.768171e-22) (5.240058e-01 1.205198e-09 3.039879e-21) (0.000000e+00 0.000000e+00 0.000000e+00)) ((-3.215953e-21 2.336930e-20 3.048678e-13) (-6.203395e-21 -1.564731e-20 -1.854058e-09) (0.000000e+00 0.000000e+00 0.000000e+00))
0.015         	((7.495252e-01 -1.872573e-07 -5.908025e-22) (4.217395e-01 -3.382515e-08 -5.056994e-21) (0.000000e+00 0.000000e+00 0.000000e+00)) ((5.907060e-21 -1.875973e-20 -9.158061e-14) (-1.931737e-21 -8.951229e-21 -1.511307e-08) (0.000000e+00 0.000000e+00 0.000000e+00))
0.02          	((1.043039e-01 4.237417e-10 -3.303873e-22) (3.407296e-01 -3.564602e-08 -2.454625e-21) (0.000000e+00 0.000000e+00 0.000000e+00)) ((2.621912e-21 -3.469186e-21 1.926092e-13) (-3.555660e-21 -8.175880e-21 -2.406351e-08) (0.000000e+00 0.000000e+00 0.000000e+00))
0.025         	((8.292570e-02 -1.169058e-07 -3.875536e-22) (3.000013e-01 -4.402133e-08 -4.476876e-21) (0.000000e+00 0.000000e+00 0.000000e+00)) ((3.614141e-21 -2.918758e-21 5.557485e-15) (-6.841208e-21 -6.603799e-21 -2.724583e-08) (0.000000e+00 0.000000e+00 0.000000e+00))
0.03          	((-6.537946e-02 -1.700083e-07 -4.570333e-22) (2.676549e-01 -3.473533e-08 -7.944976e-21) (0.000000e+00 0.000000e+00 0.000000e+00)) ((5.131534e-21 5.641722e-22 5.617964e-14) (-1.336572e-20 -5.035676e-21 -2.642608e-08) (0.000000e+00 0.000000e+00 0.000000e+00))
0.035         	((-1.514861e-01 -2.434714e-07 -6.611449e-22) (2.448423e-01 -2.789929e-08 -1.567136e-20) (0.000000e+00 0.000000e+00 0.000000e+00)) ((9.214278e-21 2.615274e-21 2.681335e-14) (-2.578278e-20 -2.581382e-21 -2.621172e-08) (0.000000e+00 0.000000e+00 0.000000e+00))
0.04          	((-1.990231e-01 -3.211524e-07 -1.045918e-21) (2.262911e-01 -1.426301e-08 -2.998892e-20) (0.000000e+00 0.000000e+00 0.000000e+00)) ((1.713185e-20 3.871487e-21 4.466947e-15) (-4.771118e-20 1.447290e-21 -2.508568e-08) (0.000000e+00 0.000000e+00 0.000000e+00))
0.045         	((-1.388746e-01 -4.322356e-07 -1.714037e-21) (2.117637e-01 -3.759194e-09 -5.471951e-20) (0.000000e+00 0.000000e+00 0.000000e+00)) ((3.123998e-20 2.770656e-21 7.200173e-15) (-8.429507e-20 8.079017e-21 -2.318977e-08) (0.000000e+00 0.000000e+00 0.000000e+00))
0.05          	((1.174331e-01 -4.412882e-07 -2.772481e-21) (2.003603e-01 8.515506e-09 -9.422214e-20) (0.000000e+00 0.000000e+00 0.000000e+00)) ((5.431317e-20 -2.697342e-21 -1.057124e-15) (-1.413031e-19 1.850364e-20 -2.510248e-08) (0.000000e+00 0.000000e+00 0.000000e+00))
0.055         	((7.484722e-01 -2.648384e-07 -4.320880e-21) (1.932575e-01 1.906984e-08 -1.517748e-19) (0.000000e+00 0.000000e+00 0.000000e+00)) ((8.902571e-20 -1.678873e-20 2.566144e-15) (-2.222365e-19 3.366966e-20 -2.544674e-08) (0.000000e+00 0.000000e+00 0.000000e+00))
