# Force coefficients
# liftDir     : (0.000000e+00 1.000000e+00 0.000000e+00)
# dragDir     : (1.000000e+00 0.000000e+00 0.000000e+00)
# pitchAxis   : (0.000000e+00 0.000000e+00 1.000000e+00)
# magUInf     : 1.000000e+00
# lRef        : 1.000000e+00
# Aref        : 1.000000e-01
# CofR        : (0.000000e+00 0.000000e+00 0.000000e+00)
# Time        	Cm            	Cd            	Cl            	Cl(f)         	Cl(r)         
0.005         	-8.509396e-09	3.729932e+02	3.645657e-06	1.814319e-06	1.831338e-06
0.01          	1.892893e-07	8.203201e+00	-4.269570e-06	-1.945496e-06	-2.324074e-06
0.015         	-1.168337e-06	1.799205e+01	3.375507e-06	5.194167e-07	2.856090e-06
0.02          	-2.173262e-06	1.373316e+01	5.438399e-07	-1.901342e-06	2.445182e-06
0.025         	-2.630379e-06	1.206667e+01	-2.177936e-06	-3.719347e-06	1.541411e-06
0.03          	-2.795345e-06	1.086452e+01	-3.752440e-06	-4.671565e-06	9.191251e-07
0.035         	-2.808812e-06	9.994269e+00	-4.534222e-06	-5.075923e-06	5.417010e-07
0.04          	-2.742588e-06	9.321092e+00	-4.864469e-06	-5.174823e-06	3.103536e-07
0.045         	-2.635765e-06	8.779880e+00	-4.938686e-06	-5.105107e-06	1.664218e-07
0.05          	-2.832624e-06	8.331707e+00	-4.798019e-06	-5.231633e-06	4.336140e-07
0.055         	-2.983941e-06	7.952217e+00	-5.083675e-06	-5.525778e-06	4.421032e-07
0.06          	-2.999185e-06	7.625296e+00	-5.625721e-06	-5.812046e-06	1.863249e-07
0.065         	-2.945421e-06	7.339769e+00	-5.792021e-06	-5.841431e-06	4.941033e-08
0.07          	-2.855716e-06	7.087628e+00	-5.786454e-06	-5.748943e-06	-3.751093e-08
0.075         	-2.747819e-06	6.862914e+00	-5.674097e-06	-5.584867e-06	-8.922970e-08
0.08          	-2.631809e-06	6.661096e+00	-5.493818e-06	-5.378718e-06	-1.151000e-07
0.085         	-2.513577e-06	6.478612e+00	-5.283871e-06	-5.155513e-06	-1.283583e-07
0.09          	-2.396605e-06	6.312652e+00	-5.054963e-06	-4.924086e-06	-1.308768e-07
0.095         	-2.282916e-06	6.160921e+00	-4.816991e-06	-4.691412e-06	-1.255795e-07
0.1           	-2.173653e-06	6.021563e+00	-4.578296e-06	-4.462801e-06	-1.154943e-07
0.105         	-2.069402e-06	5.893028e+00	-4.342449e-06	-4.240626e-06	-1.018230e-07
0.11          	-1.970401e-06	5.774027e+00	-4.120670e-06	-4.030736e-06	-8.993401e-08
0.115         	-1.876679e-06	5.663480e+00	-3.896891e-06	-3.825124e-06	-7.176711e-08
0.12          	-1.788126e-06	5.560458e+00	-3.694520e-06	-3.635386e-06	-5.913405e-08
0.125         	-1.704554e-06	5.464184e+00	-3.500051e-06	-3.454580e-06	-4.547100e-08
0.13          	-1.801057e-06	5.373971e+00	-3.713191e-06	-3.657652e-06	-5.553889e-08
0.135         	-1.823284e-06	5.289248e+00	-3.867598e-06	-3.757083e-06	-1.105153e-07
0.14          	-1.858812e-06	5.209487e+00	-3.927339e-06	-3.822482e-06	-1.048574e-07
0.145         	-1.847176e-06	5.134263e+00	-4.046868e-06	-3.870610e-06	-1.762584e-07
0.15          	-1.811638e-06	5.063172e+00	-4.064273e-06	-3.843774e-06	-2.204990e-07
0.155         	-1.763464e-06	4.995868e+00	-4.008019e-06	-3.767474e-06	-2.405456e-07
0.16          	-1.708645e-06	4.932041e+00	-3.923440e-06	-3.670365e-06	-2.530748e-07
0.165         	-1.650594e-06	4.871420e+00	-3.808483e-06	-3.554835e-06	-2.536475e-07
0.17          	-1.591345e-06	4.813757e+00	-3.684696e-06	-3.433693e-06	-2.510030e-07
0.175         	-1.532150e-06	4.758836e+00	-3.573095e-06	-3.318697e-06	-2.543979e-07
0.18          	-1.473785e-06	4.706454e+00	-3.426993e-06	-3.187282e-06	-2.397114e-07
0.185         	-1.416736e-06	4.656438e+00	-3.305647e-06	-3.069560e-06	-2.360879e-07
0.19          	-1.361297e-06	4.608624e+00	-3.258731e-06	-2.990663e-06	-2.680685e-07
0.195         	-1.307636e-06	4.562864e+00	-3.144978e-06	-2.880124e-06	-2.648533e-07
0.2           	-1.255848e-06	4.519030e+00	-2.997464e-06	-2.754580e-06	-2.428843e-07
0.205         	-1.205976e-06	4.476996e+00	-2.864145e-06	-2.638048e-06	-2.260965e-07
0.21          	-1.158014e-06	4.436649e+00	-2.746386e-06	-2.531207e-06	-2.151791e-07
0.215         	-1.111940e-06	4.397892e+00	-2.633339e-06	-2.428610e-06	-2.047296e-07
0.22          	-1.067704e-06	4.360627e+00	-2.520143e-06	-2.327775e-06	-1.923675e-07
0.225         	-1.025258e-06	4.324771e+00	-2.412243e-06	-2.231380e-06	-1.808639e-07
0.23          	-9.845401e-07	4.290240e+00	-2.322204e-06	-2.145642e-06	-1.765617e-07
0.235         	-9.454865e-07	4.256963e+00	-2.293769e-06	-2.092371e-06	-2.013978e-07
0.24          	-9.080316e-07	4.224875e+00	-2.206308e-06	-2.011185e-06	-1.951223e-07
0.245         	-8.721081e-07	4.193909e+00	-2.111904e-06	-1.928060e-06	-1.838437e-07
0.25          	-8.376510e-07	4.164008e+00	-2.024949e-06	-1.850126e-06	-1.748236e-07
0.255         	-8.397643e-07	4.135105e+00	-2.065439e-06	-1.872484e-06	-1.929551e-07
0.26          	-8.204794e-07	4.107182e+00	-2.128031e-06	-1.884495e-06	-2.435359e-07
0.265         	-7.918834e-07	4.080168e+00	-2.132976e-06	-1.858371e-06	-2.746044e-07
0.27          	-7.592584e-07	4.054022e+00	-2.113584e-06	-1.816050e-06	-2.975334e-07
0.275         	-8.450473e-07	4.028695e+00	-2.558362e-06	-2.124228e-06	-4.341337e-07
0.28          	-8.762538e-07	4.004168e+00	-2.700713e-06	-2.226610e-06	-4.741028e-07
0.285         	-8.798516e-07	3.980392e+00	-2.767980e-06	-2.263842e-06	-5.041386e-07
0.29          	-8.682427e-07	3.957336e+00	-2.782129e-06	-2.259307e-06	-5.228220e-07
0.295         	-8.478216e-07	3.934966e+00	-2.763157e-06	-2.229400e-06	-5.337571e-07
0.3           	-8.221947e-07	3.913253e+00	-2.720000e-06	-2.182195e-06	-5.378053e-07
0.305         	-7.935286e-07	3.892167e+00	-2.665580e-06	-2.126319e-06	-5.392614e-07
0.31          	-7.631851e-07	3.871686e+00	-2.605033e-06	-2.065702e-06	-5.393314e-07
0.315         	-7.320313e-07	3.851781e+00	-2.533907e-06	-1.998985e-06	-5.349223e-07
0.32          	-7.006519e-07	3.832429e+00	-2.462777e-06	-1.932040e-06	-5.307367e-07
0.325         	-6.694330e-07	3.813608e+00	-2.390132e-06	-1.864499e-06	-5.256332e-07
0.33          	-6.386331e-07	3.795298e+00	-2.317990e-06	-1.797628e-06	-5.203619e-07
0.335         	-6.084246e-07	3.777479e+00	-2.250055e-06	-1.733452e-06	-5.166029e-07
0.34          	-5.789185e-07	3.760123e+00	-2.168564e-06	-1.663200e-06	-5.053634e-07
0.345         	-5.501990e-07	3.743225e+00	-2.107001e-06	-1.603699e-06	-5.033014e-07
0.35          	-5.222984e-07	3.726763e+00	-2.039086e-06	-1.541841e-06	-4.972447e-07
0.355         	-4.952402e-07	3.710720e+00	-1.976290e-06	-1.483385e-06	-4.929048e-07
0.36          	-4.690324e-07	3.695081e+00	-1.914196e-06	-1.426131e-06	-4.880657e-07
0.365         	-4.436726e-07	3.679831e+00	-1.856117e-06	-1.371731e-06	-4.843861e-07
0.37          	-4.191505e-07	3.664957e+00	-1.797401e-06	-1.317851e-06	-4.795500e-07
0.375         	-3.954512e-07	3.650446e+00	-1.744888e-06	-1.267895e-06	-4.769929e-07
0.38          	-3.725558e-07	3.636284e+00	-1.692951e-06	-1.219031e-06	-4.739195e-07
0.385         	-3.504417e-07	3.622456e+00	-1.643539e-06	-1.172211e-06	-4.713276e-07
0.39          	-3.290878e-07	3.608957e+00	-1.597818e-06	-1.127997e-06	-4.698213e-07
0.395         	-3.084670e-07	3.595772e+00	-1.552235e-06	-1.084584e-06	-4.676506e-07
0.4           	-2.885550e-07	3.582891e+00	-1.509860e-06	-1.043485e-06	-4.663747e-07
0.405         	-2.693276e-07	3.570305e+00	-1.469167e-06	-1.003911e-06	-4.652561e-07
0.41          	-2.507599e-07	3.558000e+00	-1.427605e-06	-9.645625e-07	-4.630427e-07
0.415         	-2.328309e-07	3.545974e+00	-1.394926e-06	-9.302941e-07	-4.646322e-07
0.42          	-2.155143e-07	3.534213e+00	-1.358721e-06	-8.948747e-07	-4.638460e-07
0.425         	-1.987885e-07	3.522706e+00	-1.324009e-06	-8.607928e-07	-4.632159e-07
0.43          	-1.826348e-07	3.511463e+00	-1.307783e-06	-8.365265e-07	-4.712569e-07
0.435         	-1.670150e-07	3.500449e+00	-1.267019e-06	-8.005246e-07	-4.664945e-07
0.44          	-1.519278e-07	3.489674e+00	-1.259230e-06	-7.815429e-07	-4.776873e-07
0.445         	-1.373452e-07	3.479126e+00	-1.233547e-06	-7.541189e-07	-4.794286e-07
0.45          	-1.232508e-07	3.468799e+00	-1.238148e-06	-7.423248e-07	-4.958232e-07
0.455         	-1.096239e-07	3.458686e+00	-1.228339e-06	-7.237933e-07	-5.045455e-07
0.46          	-9.644969e-08	3.448782e+00	-1.238831e-06	-7.158651e-07	-5.229657e-07
0.465         	-8.370913e-08	3.439078e+00	-1.193148e-06	-6.802832e-07	-5.128649e-07
0.47          	-9.385769e-08	3.429553e+00	-1.349142e-06	-7.684285e-07	-5.807132e-07
0.475         	-8.671238e-08	3.420243e+00	-1.358177e-06	-7.658011e-07	-5.923763e-07
0.48          	-7.181433e-08	3.411105e+00	-1.379248e-06	-7.614386e-07	-6.178099e-07
0.485         	-5.335848e-08	3.402155e+00	-1.410429e-06	-7.585730e-07	-6.518561e-07
0.49          	-3.331353e-08	3.393381e+00	-1.411649e-06	-7.391379e-07	-6.725109e-07
0.495         	-1.270108e-08	3.384774e+00	-1.410900e-06	-7.181512e-07	-6.927490e-07
0.5           	7.916882e-09	3.376333e+00	-1.401013e-06	-6.925896e-07	-7.084234e-07
0.505         	2.822469e-08	3.368052e+00	-1.378156e-06	-6.608533e-07	-7.173027e-07
0.51          	4.803828e-08	3.359929e+00	-1.282643e-06	-5.932833e-07	-6.893599e-07
0.515         	6.725283e-08	3.351953e+00	-1.281834e-06	-5.736640e-07	-7.081697e-07
0.52          	8.580713e-08	3.344127e+00	-1.371556e-06	-5.999710e-07	-7.715853e-07
0.525         	1.036777e-07	3.336447e+00	-1.331629e-06	-5.621367e-07	-7.694922e-07
0.53          	1.208552e-07	3.328906e+00	-1.314689e-06	-5.364895e-07	-7.782000e-07
0.535         	1.373406e-07	3.321502e+00	-1.295592e-06	-5.104554e-07	-7.851367e-07
0.54          	1.531464e-07	3.314231e+00	-1.278501e-06	-4.861041e-07	-7.923969e-07
0.545         	1.682902e-07	3.307089e+00	-1.259923e-06	-4.616711e-07	-7.982515e-07
0.55          	1.054289e-07	3.300064e+00	-1.705073e-06	-7.471077e-07	-9.579654e-07
0.555         	7.824780e-08	3.293170e+00	-1.794500e-06	-8.190020e-07	-9.754976e-07
0.56          	6.903178e-08	3.286399e+00	-1.857863e-06	-8.598998e-07	-9.979634e-07
0.565         	6.972350e-08	3.279745e+00	-1.879931e-06	-8.702422e-07	-1.009689e-06
0.57          	7.622479e-08	3.273205e+00	-1.876081e-06	-8.618159e-07	-1.014265e-06
0.575         	8.624666e-08	3.266775e+00	-1.835487e-06	-8.314970e-07	-1.003990e-06
0.58          	9.842055e-08	3.260454e+00	-1.830542e-06	-8.168502e-07	-1.013691e-06
0.585         	1.118853e-07	3.254238e+00	-1.851303e-06	-8.137663e-07	-1.037537e-06
0.59          	1.260826e-07	3.248132e+00	-1.831332e-06	-7.895833e-07	-1.041748e-06
0.595         	1.406544e-07	3.242123e+00	-1.806375e-06	-7.625329e-07	-1.043842e-06
0.6           	1.553320e-07	3.236211e+00	-1.765604e-06	-7.274699e-07	-1.038134e-06
0.605         	1.699427e-07	3.230396e+00	-1.740602e-06	-7.003585e-07	-1.040244e-06
0.61          	1.843714e-07	3.224675e+00	-1.623558e-06	-6.274076e-07	-9.961503e-07
