# Forces      
# CofR        : (0.000000e+00 0.000000e+00 0.000000e+00)
# Time        forces(pressure viscous porous)	moments(pressure viscous porous)
0.005         	((1.759614e+01 1.806528e-07 1.811532e-20) (1.053525e+00 1.630039e-09 2.983376e-19) (0.000000e+00 0.000000e+00 0.000000e+00)) ((-2.387076e-18 -1.099634e-18 3.413285e-15) (9.845746e-19 7.977791e-20 -4.254732e-10) (0.000000e+00 0.000000e+00 0.000000e+00))
0.01          	((-1.637139e-01 -2.393300e-07 6.201328e-21) (5.738739e-01 2.585150e-08 -2.079748e-20) (0.000000e+00 0.000000e+00 0.000000e+00)) ((2.489243e-20 9.070957e-21 9.729812e-14) (-7.325039e-21 -3.921214e-20 9.464369e-09) (0.000000e+00 0.000000e+00 0.000000e+00))
0.015         	((4.765879e-01 2.549982e-07 3.463570e-21) (4.230148e-01 -8.622288e-08 3.036568e-21) (0.000000e+00 0.000000e+00 0.000000e+00)) ((-6.469268e-20 -2.888848e-20 5.810210e-14) (2.728841e-20 -2.320712e-20 -5.841690e-08) (0.000000e+00 0.000000e+00 0.000000e+00))
0.02          	((3.391584e-01 1.912568e-07 3.547712e-21) (3.474997e-01 -1.640648e-07 -3.585189e-22) (0.000000e+00 0.000000e+00 0.000000e+00)) ((-4.429604e-20 -2.057090e-20 4.568292e-14) (1.909895e-20 -1.966662e-20 -1.086632e-07) (0.000000e+00 0.000000e+00 0.000000e+00))
0.025         	((3.006515e-01 9.350158e-08 3.502181e-21) (3.026821e-01 -2.023984e-07 -1.159484e-21) (0.000000e+00 0.000000e+00 0.000000e+00)) ((-3.872483e-20 -1.824094e-20 1.586477e-14) (1.682504e-20 -1.712803e-20 -1.315190e-07) (0.000000e+00 0.000000e+00 0.000000e+00))
0.03          	((2.708520e-01 2.974888e-08 3.469543e-21) (2.723741e-01 -2.173709e-07 -1.768312e-21) (0.000000e+00 0.000000e+00 0.000000e+00)) ((-3.445897e-20 -1.643298e-20 -1.151287e-15) (1.507913e-20 -1.544116e-20 -1.397673e-07) (0.000000e+00 0.000000e+00 0.000000e+00))
0.035         	((2.496101e-01 -6.867234e-09 3.434419e-21) (2.501034e-01 -2.198439e-07 -2.160146e-21) (0.000000e+00 0.000000e+00 0.000000e+00)) ((-3.146352e-20 -1.513892e-20 -1.247638e-14) (1.384487e-20 -1.418993e-20 -1.404406e-07) (0.000000e+00 0.000000e+00 0.000000e+00))
0.04          	((2.332356e-01 -2.777029e-08 3.399604e-21) (2.328190e-01 -2.154532e-07 -2.434633e-21) (0.000000e+00 0.000000e+00 0.000000e+00)) ((-2.917813e-20 -1.413809e-20 -1.949042e-14) (1.289867e-20 -1.321478e-20 -1.371294e-07) (0.000000e+00 0.000000e+00 0.000000e+00))
0.045         	((2.201041e-01 -3.951214e-08 3.365906e-21) (2.188899e-01 -2.074221e-07 -2.634927e-21) (0.000000e+00 0.000000e+00 0.000000e+00)) ((-2.736032e-20 -1.333346e-20 -2.350847e-14) (1.214306e-20 -1.242648e-20 -1.317882e-07) (0.000000e+00 0.000000e+00 0.000000e+00))
0.05          	((2.092338e-01 -1.450453e-08 3.333434e-21) (2.073515e-01 -2.253964e-07 -2.785762e-21) (0.000000e+00 0.000000e+00 0.000000e+00)) ((-2.586474e-20 -1.266613e-20 -3.655522e-14) (1.151933e-20 -1.177220e-20 -1.416311e-07) (0.000000e+00 0.000000e+00 0.000000e+00))
