# Force coefficients
# liftDir     : (0.000000e+00 1.000000e+00 0.000000e+00)
# dragDir     : (1.000000e+00 0.000000e+00 0.000000e+00)
# pitchAxis   : (0.000000e+00 0.000000e+00 1.000000e+00)
# magUInf     : 1.000000e+00
# lRef        : 1.000000e+00
# Aref        : 1.000000e-01
# CofR        : (0.000000e+00 0.000000e+00 0.000000e+00)
# Time        	Cm            	Cd            	Cl            	Cl(f)         	Cl(r)         
0.005         	-3.206795e-10	3.768395e+02	2.456995e-07	1.225291e-07	1.231704e-07
0.01          	-1.149146e-07	2.034209e+01	-5.995294e-07	-4.146792e-07	-1.848501e-07
0.015         	-6.091630e-08	2.767568e+01	5.832522e-08	-3.175369e-08	9.007891e-08
0.02          	-8.287134e-08	2.078513e+01	4.873768e-07	1.608170e-07	3.265597e-07
0.025         	-7.817598e-08	1.809532e+01	5.623038e-07	2.029759e-07	3.593279e-07
0.03          	-7.123216e-08	1.617957e+01	5.229273e-07	1.902315e-07	3.326958e-07
0.035         	-6.467435e-08	1.483043e+01	4.897129e-07	1.801821e-07	3.095308e-07
0.04          	2.225634e-08	1.379743e+01	5.324208e-07	2.884667e-07	2.439541e-07
0.045         	6.984157e-08	1.297442e+01	5.467790e-07	3.432311e-07	2.035479e-07
0.05          	9.523119e-08	1.229779e+01	6.128990e-07	4.016807e-07	2.112183e-07
0.055         	1.077500e-07	1.172885e+01	6.218157e-07	4.186578e-07	2.031578e-07
0.06          	1.126631e-07	1.124190e+01	6.153396e-07	4.203329e-07	1.950067e-07
0.065         	1.130358e-07	1.081910e+01	6.500521e-07	4.380619e-07	2.119902e-07
0.07          	1.107150e-07	1.044758e+01	5.926250e-07	4.070274e-07	1.855975e-07
0.075         	1.560418e-07	1.011778e+01	6.390881e-07	4.755859e-07	1.635022e-07
0.08          	1.801197e-07	9.822499e+00	7.236461e-07	5.419427e-07	1.817034e-07
0.085         	1.917960e-07	9.556139e+00	7.837338e-07	5.836629e-07	2.000709e-07
0.09          	1.960406e-07	9.314295e+00	8.159068e-07	6.039940e-07	2.119129e-07
0.095         	3.248767e-07	9.093461e+00	7.146965e-07	6.822250e-07	3.247155e-08
0.1           	4.020218e-07	8.890813e+00	8.328866e-07	8.184651e-07	1.442150e-08
0.105         	4.473177e-07	8.704009e+00	8.880574e-07	8.913464e-07	-3.289036e-09
0.11          	4.723042e-07	8.531116e+00	9.328933e-07	9.387509e-07	-5.857607e-09
0.115         	4.839851e-07	8.370514e+00	9.432508e-07	9.556105e-07	-1.235966e-08
0.12          	4.868019e-07	8.220849e+00	9.459354e-07	9.597696e-07	-1.383417e-08
0.125         	4.836538e-07	8.080947e+00	9.484162e-07	9.578619e-07	-9.445735e-09
0.13          	4.764921e-07	7.949822e+00	9.438957e-07	9.484400e-07	-4.544259e-09
0.135         	4.666646e-07	7.826612e+00	9.297826e-07	9.315559e-07	-1.773331e-09
0.14          	4.550890e-07	7.710569e+00	9.163264e-07	9.132522e-07	3.074160e-09
0.145         	4.424232e-07	7.601042e+00	9.016356e-07	8.932410e-07	8.394610e-09
0.15          	4.291333e-07	7.497460e+00	8.866496e-07	8.724581e-07	1.419151e-08
0.155         	4.155528e-07	7.399327e+00	8.676623e-07	8.493839e-07	1.827837e-08
0.16          	4.019200e-07	7.306179e+00	8.530171e-07	8.284285e-07	2.458858e-08
0.165         	3.884039e-07	7.217633e+00	8.328905e-07	8.048491e-07	2.804137e-08
0.17          	3.751165e-07	7.133335e+00	8.156940e-07	7.829635e-07	3.273052e-08
0.175         	3.621380e-07	7.052969e+00	8.055154e-07	7.648957e-07	4.061968e-08
0.18          	3.495246e-07	6.976229e+00	7.841966e-07	7.416229e-07	4.257377e-08
0.185         	3.373113e-07	6.902886e+00	7.686170e-07	7.216198e-07	4.699722e-08
0.19          	3.255162e-07	6.832694e+00	7.509823e-07	7.010074e-07	4.997495e-08
0.195         	3.141500e-07	6.765443e+00	7.322227e-07	6.802614e-07	5.196136e-08
0.2           	3.032136e-07	6.700943e+00	7.357339e-07	6.710805e-07	6.465333e-08
0.205         	2.927016e-07	6.639014e+00	7.098422e-07	6.476226e-07	6.221954e-08
0.21          	3.338644e-07	6.579492e+00	5.012555e-07	5.844922e-07	-8.323670e-08
0.215         	3.588738e-07	6.522245e+00	6.531146e-07	6.854311e-07	-3.231644e-08
0.22          	4.872438e-07	6.467142e+00	5.173091e-07	7.458983e-07	-2.285892e-07
0.225         	5.753801e-07	6.414056e+00	7.229518e-07	9.368560e-07	-2.139042e-07
0.23          	6.367314e-07	6.362870e+00	8.562981e-07	1.064880e-06	-2.085824e-07
0.235         	6.794676e-07	6.313476e+00	9.883133e-07	1.173624e-06	-1.853109e-07
0.24          	7.088070e-07	6.265776e+00	1.051183e-06	1.234399e-06	-1.832155e-07
0.245         	7.282728e-07	6.219684e+00	1.113080e-06	1.284813e-06	-1.717327e-07
0.25          	7.403170e-07	6.175112e+00	1.153444e-06	1.317039e-06	-1.635948e-07
0.255         	7.467083e-07	6.131988e+00	1.227574e-06	1.360495e-06	-1.329215e-07
0.26          	7.487465e-07	6.090211e+00	1.241465e-06	1.369479e-06	-1.280142e-07
0.265         	7.474221e-07	6.049756e+00	1.280396e-06	1.387620e-06	-1.072238e-07
0.27          	7.434850e-07	6.010547e+00	1.295549e-06	1.391260e-06	-9.571034e-08
0.275         	7.375206e-07	5.972518e+00	1.296310e-06	1.385676e-06	-8.936554e-08
0.28          	7.299829e-07	5.935615e+00	1.298425e-06	1.379196e-06	-8.077032e-08
0.285         	7.212289e-07	5.899789e+00	1.290430e-06	1.366444e-06	-7.601370e-08
0.29          	7.115445e-07	5.864984e+00	1.314976e-06	1.369033e-06	-5.405640e-08
0.295         	7.011524e-07	5.831198e+00	1.278188e-06	1.340246e-06	-6.205861e-08
0.3           	6.902430e-07	5.798322e+00	1.284349e-06	1.332418e-06	-4.806839e-08
0.305         	6.789582e-07	5.766349e+00	1.272896e-06	1.315406e-06	-4.251000e-08
0.31          	6.674184e-07	5.735238e+00	1.261315e-06	1.298076e-06	-3.676085e-08
0.315         	6.557208e-07	5.704956e+00	1.250111e-06	1.280776e-06	-3.066525e-08
0.32          	6.439440e-07	5.675467e+00	1.215852e-06	1.251870e-06	-3.601775e-08
0.325         	6.321516e-07	5.646744e+00	1.198232e-06	1.231267e-06	-3.303573e-08
0.33          	6.203942e-07	5.618740e+00	1.205334e-06	1.223061e-06	-1.772735e-08
0.335         	6.087124e-07	5.591450e+00	1.187228e-06	1.202326e-06	-1.509835e-08
