# Forces      
# CofR        : (0.000000e+00 0.000000e+00 0.000000e+00)
# Time        forces(pressure viscous porous)	moments(pressure viscous porous)
0.005         	((3.852652e+01 -7.112235e-07 -6.336963e-26) (2.856701e+00 -9.190892e-09 3.495272e-19) (0.000000e+00 0.000000e+00 0.000000e+00)) ((-2.054371e-18 -1.826715e-18 -1.939096e-16) (1.866930e-19 -1.181083e-20 2.639043e-11) (0.000000e+00 0.000000e+00 0.000000e+00))
0.01          	((-1.928084e-02 7.227345e-07 3.163847e-26) (1.746245e+00 5.446271e-09 -2.300180e-20) (0.000000e+00 0.000000e+00 0.000000e+00)) ((5.383784e-21 -4.851995e-21 2.710505e-18) (-2.864694e-21 -9.699254e-20 -4.880072e-10) (0.000000e+00 0.000000e+00 0.000000e+00))
0.015         	((1.643341e+00 -2.462262e-07 -1.095245e-26) (1.338663e+00 4.679254e-10 9.710820e-21) (0.000000e+00 0.000000e+00 0.000000e+00)) ((-8.853679e-20 -7.643403e-20 5.387130e-18) (7.234327e-21 -6.796635e-20 -1.517920e-10) (0.000000e+00 0.000000e+00 0.000000e+00))
0.02          	((1.117137e+00 1.493828e-08 1.073026e-26) (1.097475e+00 1.180151e-09 4.574427e-21) (0.000000e+00 0.000000e+00 0.000000e+00)) ((-5.964387e-20 -5.285816e-20 3.441071e-19) (4.851756e-21 -5.675891e-20 -2.003076e-10) (0.000000e+00 0.000000e+00 0.000000e+00))
0.025         	((1.008506e+00 2.398378e-08 8.247904e-28) (9.510487e-01 1.899677e-09 3.523706e-21) (0.000000e+00 0.000000e+00 0.000000e+00)) ((-5.384462e-20 -4.770537e-20 -3.892116e-18) (4.498370e-21 -4.910350e-20 1.248653e-11) (0.000000e+00 0.000000e+00 0.000000e+00))
0.03          	((9.079285e-01 -3.029329e-08 1.215943e-26) (8.524453e-01 2.240268e-09 2.285675e-21) (0.000000e+00 0.000000e+00 0.000000e+00)) ((-4.841082e-20 -4.303860e-20 -2.336117e-18) (4.075012e-21 -4.403239e-20 1.065709e-10) (0.000000e+00 0.000000e+00 0.000000e+00))
0.035         	((8.398903e-01 -3.203384e-08 1.585302e-26) (7.815862e-01 3.294619e-09 1.276489e-21) (0.000000e+00 0.000000e+00 0.000000e+00)) ((-4.477897e-20 -3.981116e-20 4.949849e-19) (3.786899e-21 -4.035854e-20 1.595070e-10) (0.000000e+00 0.000000e+00 0.000000e+00))
0.04          	((7.870744e-01 -7.587634e-08 2.619006e-26) (7.276175e-01 3.992928e-09 3.513554e-22) (0.000000e+00 0.000000e+00 0.000000e+00)) ((-4.197664e-20 -3.727855e-20 -1.338312e-19) (3.558548e-21 -3.755709e-20 1.746106e-10) (0.000000e+00 0.000000e+00 0.000000e+00))
0.045         	((7.454913e-01 -1.519273e-07 3.805333e-26) (6.847330e-01 4.593268e-09 -5.293864e-22) (0.000000e+00 0.000000e+00 0.000000e+00)) ((-3.978511e-20 -3.525892e-20 -2.351363e-18) (3.378486e-21 -3.532561e-20 1.685021e-10) (0.000000e+00 0.000000e+00 0.000000e+00))
0.05          	((7.119210e-01 -2.748703e-07 5.058060e-26) (6.495457e-01 5.078769e-09 -1.395945e-21) (0.000000e+00 0.000000e+00 0.000000e+00)) ((-3.802608e-20 -3.360843e-20 -6.098637e-19) (3.233623e-21 -3.349012e-20 1.497749e-10) (0.000000e+00 0.000000e+00 0.000000e+00))
0.055         	((6.844682e-01 -4.482347e-07 6.583296e-26) (6.199680e-01 5.482439e-09 -2.258375e-21) (0.000000e+00 0.000000e+00 0.000000e+00)) ((-3.659540e-20 -3.224172e-20 -2.673236e-18) (3.115949e-21 -3.194301e-20 1.246380e-10) (0.000000e+00 0.000000e+00 0.000000e+00))
0.06          	((6.617721e-01 -6.728331e-07 8.153659e-26) (5.946356e-01 5.677933e-09 -3.112300e-21) (0.000000e+00 0.000000e+00 0.000000e+00)) ((-3.541724e-20 -3.109848e-20 2.354752e-19) (3.019206e-21 -3.061441e-20 9.696753e-11) (0.000000e+00 0.000000e+00 0.000000e+00))
0.065         	((6.428131e-01 -9.843314e-07 9.739876e-26) (5.726137e-01 5.203040e-09 -3.939309e-21) (0.000000e+00 0.000000e+00 0.000000e+00)) ((-3.443366e-20 -3.013513e-20 -1.496284e-18) (2.938412e-21 -2.945682e-20 7.039153e-11) (0.000000e+00 0.000000e+00 0.000000e+00))
0.07          	((6.267639e-01 -1.307259e-06 1.103095e-25) (5.532352e-01 4.583359e-09 -4.707409e-21) (0.000000e+00 0.000000e+00 0.000000e+00)) ((-3.359717e-20 -2.931803e-20 1.332806e-18) (2.869284e-21 -2.843735e-20 4.957292e-11) (0.000000e+00 0.000000e+00 0.000000e+00))
0.075         	((6.129047e-01 -1.606796e-06 1.196871e-25) (5.360089e-01 3.852204e-09 -5.371467e-21) (0.000000e+00 0.000000e+00 0.000000e+00)) ((-3.286477e-20 -2.861968e-20 -7.352246e-19) (2.807854e-21 -2.753224e-20 3.414342e-11) (0.000000e+00 0.000000e+00 0.000000e+00))
0.08          	((6.005721e-01 -1.775533e-06 1.215308e-25) (5.205627e-01 3.025387e-09 -5.872318e-21) (0.000000e+00 0.000000e+00 0.000000e+00)) ((-3.219629e-20 -2.801626e-20 1.917683e-18) (2.750343e-21 -2.672443e-20 2.175086e-11) (0.000000e+00 0.000000e+00 0.000000e+00))
0.085         	((5.891252e-01 -2.082304e-06 1.212887e-25) (5.066092e-01 -7.747165e-10 -6.137026e-21) (0.000000e+00 0.000000e+00 0.000000e+00)) ((-3.155297e-20 -2.748592e-20 1.144342e-18) (2.693027e-21 -2.600177e-20 -1.903413e-12) (0.000000e+00 0.000000e+00 0.000000e+00))
0.09          	((5.779141e-01 -2.292038e-06 7.590641e-26) (4.939219e-01 -6.189022e-09 -6.079585e-21) (0.000000e+00 0.000000e+00 0.000000e+00)) ((-3.089467e-20 -2.700695e-20 1.673102e-18) (2.632072e-21 -2.535506e-20 -4.473760e-10) (0.000000e+00 0.000000e+00 0.000000e+00))
0.095         	((5.662807e-01 -2.358438e-06 2.443387e-26) (4.823197e-01 -1.199070e-08 -5.601505e-21) (0.000000e+00 0.000000e+00 0.000000e+00)) ((-3.018157e-20 -2.655706e-20 1.755052e-18) (2.563727e-21 -2.477818e-20 -7.240240e-10) (0.000000e+00 0.000000e+00 0.000000e+00))
0.1           	((5.535421e-01 -2.289155e-06 -6.022510e-26) (4.716558e-01 -1.884108e-08 -4.594482e-21) (0.000000e+00 0.000000e+00 0.000000e+00)) ((-2.937316e-20 -2.611245e-20 2.493665e-18) (2.484229e-21 -2.426640e-20 -9.031042e-10) (0.000000e+00 0.000000e+00 0.000000e+00))
0.105         	((5.390019e-01 -1.994362e-06 -1.681084e-25) (4.618097e-01 -2.659966e-08 -2.943520e-21) (0.000000e+00 0.000000e+00 0.000000e+00)) ((-2.842986e-20 -2.564713e-20 4.411348e-18) (2.390024e-21 -2.381647e-20 -1.022962e-09) (0.000000e+00 0.000000e+00 0.000000e+00))
0.11          	((5.219675e-01 -1.414634e-06 -3.063856e-25) (4.526811e-01 -3.514931e-08 -5.327039e-22) (0.000000e+00 0.000000e+00 0.000000e+00)) ((-2.731436e-20 -2.513263e-20 8.321252e-18) (2.277939e-21 -2.342592e-20 -1.111158e-09) (0.000000e+00 0.000000e+00 0.000000e+00))
0.115         	((5.017746e-01 -5.216556e-07 -4.670293e-25) (4.441861e-01 -4.449613e-08 2.747400e-21) (0.000000e+00 0.000000e+00 0.000000e+00)) ((-2.599425e-20 -2.453785e-20 8.952397e-18) (2.145492e-21 -2.309215e-20 -1.187714e-09) (0.000000e+00 0.000000e+00 0.000000e+00))
0.12          	((4.778737e-01 4.807987e-07 -6.930787e-25) (4.362551e-01 -5.428246e-08 6.990303e-21) (0.000000e+00 0.000000e+00 0.000000e+00)) ((-2.444762e-20 -2.383157e-20 1.278596e-17) (1.991429e-21 -2.281198e-20 -1.281358e-09) (0.000000e+00 0.000000e+00 0.000000e+00))
0.125         	((4.498858e-01 2.000562e-06 -8.999413e-25) (4.288309e-01 -6.302660e-08 1.225932e-20) (0.000000e+00 0.000000e+00 0.000000e+00)) ((-2.266705e-20 -2.298289e-20 1.356608e-17) (1.816203e-21 -2.258100e-20 -1.360413e-09) (0.000000e+00 0.000000e+00 0.000000e+00))
0.13          	((4.177139e-01 3.810107e-06 -1.161526e-24) (4.218672e-01 -7.145797e-08 1.857026e-20) (0.000000e+00 0.000000e+00 0.000000e+00)) ((-2.066746e-20 -2.196375e-20 1.690678e-17) (1.622803e-21 -2.239267e-20 -1.452353e-09) (0.000000e+00 0.000000e+00 0.000000e+00))
0.135         	((3.816439e-01 5.853221e-06 -1.438363e-24) (4.153279e-01 -7.440190e-08 2.586985e-20) (0.000000e+00 0.000000e+00 0.000000e+00)) ((-1.849389e-20 -2.075050e-20 1.752342e-17) (1.417558e-21 -2.223736e-20 -1.669846e-09) (0.000000e+00 0.000000e+00 0.000000e+00))
0.14          	((3.424593e-01 7.838081e-06 -1.706903e-24) (4.091845e-01 -7.503237e-08 3.400617e-20) (0.000000e+00 0.000000e+00 0.000000e+00)) ((-1.622984e-20 -1.932542e-20 2.070826e-17) (1.211005e-21 -2.210130e-20 -1.881037e-09) (0.000000e+00 0.000000e+00 0.000000e+00))
