# Forces      
# CofR        : (0.000000e+00 0.000000e+00 0.000000e+00)
# Time        forces(pressure viscous porous)	moments(pressure viscous porous)
0.005         	((1.672758e+01 1.200087e-08 1.849242e-20) (8.320816e-01 4.260550e-11 4.340070e-20) (0.000000e+00 0.000000e+00 0.000000e+00)) ((-2.268149e-18 -1.046967e-18 3.975932e-15) (3.347145e-19 -3.241454e-20 -2.969400e-12) (0.000000e+00 0.000000e+00 0.000000e+00))
0.01          	((2.850665e-01 -1.066971e-08 4.870615e-21) (6.002458e-01 -6.579821e-10 -2.491495e-21) (0.000000e+00 0.000000e+00 0.000000e+00)) ((-3.660599e-20 -1.764592e-20 3.976972e-15) (5.116417e-21 -4.179729e-20 -5.518793e-09) (0.000000e+00 0.000000e+00 0.000000e+00))
0.015         	((4.577486e-01 -4.808670e-09 3.450504e-21) (4.709424e-01 -1.288896e-09 -1.955531e-22) (0.000000e+00 0.000000e+00 0.000000e+00)) ((-6.150730e-20 -2.774144e-20 -1.584526e-15) (9.088702e-21 -3.246258e-20 -4.309534e-09) (0.000000e+00 0.000000e+00 0.000000e+00))
0.02          	((3.808432e-01 5.021514e-08 3.493654e-21) (3.891141e-01 -8.182792e-10 -6.362342e-22) (0.000000e+00 0.000000e+00 0.000000e+00)) ((-5.012257e-20 -2.310808e-20 -1.375797e-15) (7.727180e-21 -2.686552e-20 -5.033320e-09) (0.000000e+00 0.000000e+00 0.000000e+00))
0.025         	((3.341304e-01 3.302899e-08 3.485629e-21) (3.337463e-01 -4.077869e-10 -8.858103e-22) (0.000000e+00 0.000000e+00 0.000000e+00)) ((-4.343385e-20 -2.029013e-20 -6.457813e-16) (6.904690e-21 -2.305670e-20 -5.234317e-09) (0.000000e+00 0.000000e+00 0.000000e+00))
0.03          	((2.981888e-01 3.425005e-08 3.460094e-21) (2.948344e-01 -1.377868e-11 -1.054768e-21) (0.000000e+00 0.000000e+00 0.000000e+00)) ((-3.834891e-20 -1.810850e-20 -5.550319e-16) (6.238578e-21 -2.037894e-20 -5.189728e-09) (0.000000e+00 0.000000e+00 0.000000e+00))
0.035         	((2.706415e-01 2.999232e-08 3.427202e-21) (2.664362e-01 2.860902e-10 -1.170827e-21) (0.000000e+00 0.000000e+00 0.000000e+00)) ((-3.447878e-20 -1.642949e-20 -5.100392e-16) (5.708036e-21 -1.842316e-20 -5.007809e-09) (0.000000e+00 0.000000e+00 0.000000e+00))
0.04          	((2.491960e-01 2.851970e-08 3.392519e-21) (2.449576e-01 5.655841e-10 -1.253267e-21) (0.000000e+00 0.000000e+00 0.000000e+00)) ((-3.148110e-20 -1.511882e-20 -3.520371e-16) (5.282700e-21 -1.694264e-20 -4.760481e-09) (0.000000e+00 0.000000e+00 0.000000e+00))
0.045         	((2.321804e-01 2.744013e-08 3.357910e-21) (2.281704e-01 8.020954e-10 -1.313427e-21) (0.000000e+00 0.000000e+00 0.000000e+00)) ((-2.911283e-20 -1.407678e-20 -1.711023e-16) (4.937681e-21 -1.578455e-20 -4.490054e-09) (0.000000e+00 0.000000e+00 0.000000e+00))
0.05          	((2.184105e-01 3.033620e-08 3.323433e-21) (2.146613e-01 1.864052e-09 -1.358257e-21) (0.000000e+00 0.000000e+00 0.000000e+00)) ((-2.720571e-20 -1.323228e-20 -3.278763e-16) (4.654093e-21 -1.485169e-20 -4.864697e-10) (0.000000e+00 0.000000e+00 0.000000e+00))
0.055         	((2.070521e-01 3.072055e-08 3.291096e-21) (2.035127e-01 2.743795e-09 -1.392846e-21) (0.000000e+00 0.000000e+00 0.000000e+00)) ((-2.563711e-20 -1.253474e-20 -4.058601e-16) (4.417294e-21 -1.408125e-20 2.156599e-09) (0.000000e+00 0.000000e+00 0.000000e+00))
0.06          	((1.975180e-01 3.008337e-08 3.260727e-21) (1.941135e-01 3.410229e-09 -1.420134e-21) (0.000000e+00 0.000000e+00 0.000000e+00)) ((-2.432304e-20 -1.194861e-20 -4.781925e-16) (4.216768e-21 -1.343137e-20 3.891395e-09) (0.000000e+00 0.000000e+00 0.000000e+00))
0.065         	((1.893902e-01 2.485809e-08 3.232259e-21) (1.860466e-01 3.878537e-09 -1.442188e-21) (0.000000e+00 0.000000e+00 0.000000e+00)) ((-2.320585e-20 -1.144868e-20 -5.190017e-16) (4.044883e-21 -1.287342e-20 5.013080e-09) (0.000000e+00 0.000000e+00 0.000000e+00))
0.07          	((1.823668e-01 3.231178e-08 3.205255e-21) (1.790199e-01 4.288712e-09 -1.460251e-21) (0.000000e+00 0.000000e+00 0.000000e+00)) ((-2.224312e-20 -1.101655e-20 -3.864249e-16) (3.895820e-21 -1.238718e-20 5.717137e-09) (0.000000e+00 0.000000e+00 0.000000e+00))
0.075         	((1.762247e-01 2.923281e-08 3.179485e-21) (1.728234e-01 4.564021e-09 -1.475280e-21) (0.000000e+00 0.000000e+00 0.000000e+00)) ((-2.140229e-20 -1.063847e-20 -3.873465e-16) (3.765169e-21 -1.195811e-20 6.131937e-09) (0.000000e+00 0.000000e+00 0.000000e+00))
0.08          	((1.707950e-01 2.892941e-08 3.155944e-21) (1.673022e-01 4.761830e-09 -1.488324e-21) (0.000000e+00 0.000000e+00 0.000000e+00)) ((-2.065916e-20 -1.030425e-20 -3.830317e-16) (3.649326e-21 -1.157575e-20 6.347187e-09) (0.000000e+00 0.000000e+00 0.000000e+00))
0.085         	((1.659530e-01 2.822033e-08 3.133675e-21) (1.623398e-01 4.898201e-09 -1.499579e-21) (0.000000e+00 0.000000e+00 0.000000e+00)) ((-1.999737e-20 -1.000626e-20 -3.764257e-16) (3.545867e-21 -1.123201e-20 6.422988e-09) (0.000000e+00 0.000000e+00 0.000000e+00))
0.09          	((1.616000e-01 2.771399e-08 3.112774e-21) (1.578464e-01 4.966792e-09 -1.509493e-21) (0.000000e+00 0.000000e+00 0.000000e+00)) ((-1.940207e-20 -9.738372e-21 -4.055204e-16) (3.452671e-21 -1.092070e-20 6.401785e-09) (0.000000e+00 0.000000e+00 0.000000e+00))
0.095         	((1.576615e-01 2.696121e-08 3.092844e-21) (1.537518e-01 5.007684e-09 -1.518234e-21) (0.000000e+00 0.000000e+00 0.000000e+00)) ((-1.886439e-20 -9.496103e-21 -3.317184e-16) (3.368353e-21 -1.063694e-20 6.313250e-09) (0.000000e+00 0.000000e+00 0.000000e+00))
0.1           	((1.540772e-01 2.660082e-08 3.073700e-21) (1.499996e-01 5.029439e-09 -1.525948e-21) (0.000000e+00 0.000000e+00 0.000000e+00)) ((-1.837595e-20 -9.275730e-21 -3.752254e-16) (3.291595e-21 -1.037685e-20 6.178696e-09) (0.000000e+00 0.000000e+00 0.000000e+00))
