# Force coefficients
# liftDir     : (0.000000e+00 1.000000e+00 0.000000e+00)
# dragDir     : (1.000000e+00 0.000000e+00 0.000000e+00)
# pitchAxis   : (0.000000e+00 0.000000e+00 1.000000e+00)
# magUInf     : 1.000000e+00
# lRef        : 1.000000e+00
# Aref        : 1.000000e-01
# CofR        : (0.000000e+00 0.000000e+00 0.000000e+00)
# Time        	Cm            	Cd            	Cl            	Cl(f)         	Cl(r)         
0.0025        	-8.493644e-11	6.522509e+02	2.445890e-06	1.222860e-06	1.223030e-06
0.005         	-1.422879e-08	6.921757e+00	-2.840613e-06	-1.434535e-06	-1.406078e-06
0.0075        	3.009505e-07	1.171780e+01	2.830252e-06	1.716077e-06	1.114176e-06
0.01          	5.725267e-07	9.721648e+00	1.118164e-06	1.131609e-06	-1.344492e-08
0.0125        	8.123033e-07	8.726761e+00	6.927086e-09	8.157668e-07	-8.088397e-07
0.015         	1.007507e-06	7.898429e+00	2.802594e-07	1.147637e-06	-8.673775e-07
0.0175        	1.157062e-06	7.197890e+00	7.040954e-08	1.192267e-06	-1.121857e-06
0.02          	1.264539e-06	6.606534e+00	-2.934533e-08	1.249867e-06	-1.279212e-06
0.0225        	1.335597e-06	6.106139e+00	-1.831337e-07	1.244030e-06	-1.427164e-06
0.025         	1.376439e-06	5.680776e+00	-2.702372e-07	1.241320e-06	-1.511558e-06
0.0275        	1.392984e-06	5.317197e+00	-3.410884e-07	1.222440e-06	-1.563528e-06
0.03          	1.390493e-06	5.004558e+00	-4.450617e-07	1.167962e-06	-1.613024e-06
0.0325        	1.373450e-06	4.734056e+00	-4.087688e-07	1.169066e-06	-1.577835e-06
0.035         	1.345572e-06	4.498574e+00	-5.041893e-07	1.093477e-06	-1.597667e-06
0.0375        	1.309894e-06	4.292323e+00	-5.514636e-07	1.034162e-06	-1.585626e-06
0.04          	1.268823e-06	4.110560e+00	-5.400124e-07	9.988168e-07	-1.538829e-06
0.0425        	1.224231e-06	3.949454e+00	-5.873004e-07	9.305808e-07	-1.517881e-06
0.045         	1.177589e-06	3.805839e+00	-5.131743e-07	9.210014e-07	-1.434176e-06
0.0475        	1.130008e-06	3.677128e+00	-5.604549e-07	8.497806e-07	-1.410235e-06
0.05          	1.082333e-06	3.561179e+00	-5.127504e-07	8.259577e-07	-1.338708e-06
0.0525        	1.035189e-06	3.456214e+00	-5.421085e-07	7.641343e-07	-1.306243e-06
0.055         	9.890203e-07	3.360759e+00	-5.432090e-07	7.174158e-07	-1.260625e-06
0.0575        	9.441619e-07	3.273566e+00	-5.855243e-07	6.513997e-07	-1.236924e-06
0.06          	9.008177e-07	3.193581e+00	-4.794017e-07	6.611169e-07	-1.140519e-06
0.0625        	8.591155e-07	3.119943e+00	-6.443035e-07	5.369638e-07	-1.181267e-06
0.065         	8.191463e-07	3.051897e+00	-5.186925e-07	5.598001e-07	-1.078493e-06
0.0675        	7.809367e-07	2.988774e+00	-4.900871e-07	5.358932e-07	-1.025980e-06
0.07          	7.444722e-07	2.930058e+00	-6.552651e-07	4.168396e-07	-1.072105e-06
0.0725        	7.097378e-07	2.875297e+00	-4.962351e-07	4.616203e-07	-9.578554e-07
0.075         	6.766870e-07	2.824038e+00	-5.015706e-07	4.259017e-07	-9.274723e-07
0.0775        	6.452602e-07	2.775941e+00	-5.051472e-07	3.926866e-07	-8.978338e-07
0.08          	6.153993e-07	2.730726e+00	-6.099370e-07	3.104308e-07	-9.203678e-07
0.0825        	5.870346e-07	2.688110e+00	-4.913867e-07	3.413412e-07	-8.327279e-07
0.085         	5.600954e-07	2.647859e+00	-5.078847e-07	3.061530e-07	-8.140377e-07
0.0875        	5.345222e-07	2.609752e+00	-4.835825e-07	2.927310e-07	-7.763134e-07
0.09          	5.102346e-07	2.573626e+00	-5.562778e-07	2.320956e-07	-7.883735e-07
0.0925        	4.871704e-07	2.539313e+00	-4.786515e-07	2.478447e-07	-7.264962e-07
0.095         	5.878844e-07	2.506672e+00	6.766180e-07	9.261934e-07	-2.495754e-07
0.0975        	6.640950e-07	2.475573e+00	7.085118e-07	1.018351e-06	-3.098391e-07
0.1           	7.206640e-07	2.445894e+00	5.290166e-07	9.851722e-07	-4.561557e-07
0.1025        	7.615224e-07	2.417546e+00	4.411207e-07	9.820827e-07	-5.409620e-07
