# Forces      
# CofR        : (0.000000e+00 0.000000e+00 0.000000e+00)
# Time        forces(pressure viscous porous)	moments(pressure viscous porous)
0.0025        	((3.224119e+01 1.219577e-07 -1.604307e-20) (3.713563e-01 3.367727e-10 1.132252e-19) (0.000000e+00 0.000000e+00 0.000000e+00)) ((1.776729e-19 -8.071498e-19 1.613184e-15) (7.138076e-20 4.244576e-20 -4.248435e-12) (0.000000e+00 0.000000e+00 0.000000e+00))
0.005         	((3.967354e-02 -1.438524e-07 -2.126180e-22) (3.064143e-01 1.821751e-09 3.688658e-22) (0.000000e+00 0.000000e+00 0.000000e+00)) ((1.902614e-21 1.784393e-22 3.320629e-14) (-1.143670e-21 -7.483013e-21 -7.114729e-10) (0.000000e+00 0.000000e+00 0.000000e+00))
0.0075        	((3.233630e-01 1.439343e-07 -3.537989e-22) (2.625271e-01 -2.421699e-09 1.185032e-21) (0.000000e+00 0.000000e+00 0.000000e+00)) ((2.938749e-21 -7.946588e-21 8.943451e-14) (7.964390e-23 -6.135236e-21 1.504743e-08) (0.000000e+00 0.000000e+00 0.000000e+00))
0.01          	((2.548189e-01 6.437942e-08 -3.219337e-22) (2.312635e-01 -8.471240e-09 7.606029e-22) (0.000000e+00 0.000000e+00 0.000000e+00)) ((2.650553e-21 -6.275568e-21 4.222084e-14) (-7.918351e-24 -5.509975e-21 2.862629e-08) (0.000000e+00 0.000000e+00 0.000000e+00))
0.0125        	((2.297693e-01 1.469424e-08 -3.115661e-22) (2.065687e-01 -1.434788e-08 5.240384e-22) (0.000000e+00 0.000000e+00 0.000000e+00)) ((2.586950e-21 -5.677590e-21 2.966135e-14) (-9.552775e-23 -4.962255e-21 4.061513e-08) (0.000000e+00 0.000000e+00 0.000000e+00))
0.015         	((2.084062e-01 3.281782e-08 -3.016635e-22) (1.865152e-01 -1.880485e-08 3.380454e-22) (0.000000e+00 0.000000e+00 0.000000e+00)) ((2.523262e-21 -5.161447e-21 3.207207e-14) (-1.773008e-22 -4.513411e-21 5.037533e-08) (0.000000e+00 0.000000e+00 0.000000e+00))
0.0175        	((1.898823e-01 2.612463e-08 -2.927522e-22) (1.700122e-01 -2.260416e-08 1.892641e-22) (0.000000e+00 0.000000e+00 0.000000e+00)) ((2.461184e-21 -4.711093e-21 3.228069e-14) (-2.478980e-22 -4.141749e-21 5.785306e-08) (0.000000e+00 0.000000e+00 0.000000e+00))
0.02          	((1.740345e-01 2.408897e-08 -2.849411e-22) (1.562922e-01 -2.555624e-08 6.933975e-23) (0.000000e+00 0.000000e+00 0.000000e+00)) ((2.403980e-21 -4.324666e-21 3.513566e-14) (-3.077939e-22 -3.830831e-21 6.322694e-08) (0.000000e+00 0.000000e+00 0.000000e+00))
0.0225        	((1.605222e-01 1.884070e-08 -2.781577e-22) (1.447848e-01 -2.799739e-08 -2.819330e-23) (0.000000e+00 0.000000e+00 0.000000e+00)) ((2.352710e-21 -3.994755e-21 3.765323e-14) (-3.585384e-22 -3.568475e-21 6.677980e-08) (0.000000e+00 0.000000e+00 0.000000e+00))
0.025         	((1.489848e-01 1.650986e-08 -2.722691e-22) (1.350540e-01 -3.002172e-08 -1.082161e-22) (0.000000e+00 0.000000e+00 0.000000e+00)) ((2.307385e-21 -3.712976e-21 3.877248e-14) (-4.016767e-22 -3.345301e-21 6.882191e-08) (0.000000e+00 0.000000e+00 0.000000e+00))
0.0275        	((1.390984e-01 1.401611e-08 -2.671259e-22) (1.267615e-01 -3.107053e-08 -1.744043e-22) (0.000000e+00 0.000000e+00 0.000000e+00)) ((2.267059e-21 -3.471521e-21 4.188232e-14) (-4.384866e-22 -3.154046e-21 6.964917e-08) (0.000000e+00 0.000000e+00 0.000000e+00))
0.03          	((1.305869e-01 9.501380e-09 -2.626163e-22) (1.196410e-01 -3.175447e-08 -2.295649e-22) (0.000000e+00 0.000000e+00 0.000000e+00)) ((2.231056e-21 -3.263638e-21 4.414529e-14) (-4.700609e-22 -2.988970e-21 6.952460e-08) (0.000000e+00 0.000000e+00 0.000000e+00))
