# Force coefficients
# liftDir     : (0.000000e+00 1.000000e+00 0.000000e+00)
# dragDir     : (1.000000e+00 0.000000e+00 0.000000e+00)
# pitchAxis   : (0.000000e+00 0.000000e+00 1.000000e+00)
# magUInf     : 1.000000e+00
# lRef        : 1.000000e+00
# Aref        : 1.000000e-01
# CofR        : (0.000000e+00 0.000000e+00 0.000000e+00)
# Time        	Cm            	Cd            	Cl            	Cl(f)         	Cl(r)         
0.0025        	-8.478877e-11	6.517261e+02	2.328888e-06	1.164359e-06	1.164529e-06
0.005         	1.117734e-10	6.926212e+00	-3.073506e-06	-1.536641e-06	-1.536865e-06
0.0075        	-1.516416e-08	1.166907e+01	1.201753e-06	5.857122e-07	6.160405e-07
0.01          	-3.114966e-08	9.699027e+00	-2.539138e-07	-1.581066e-07	-9.580725e-08
0.0125        	-5.333250e-08	8.715448e+00	2.267711e-07	6.005307e-08	1.667181e-07
0.015         	-6.490910e-08	7.893419e+00	1.079103e-06	4.746425e-07	6.044607e-07
0.0175        	-6.927259e-08	7.196690e+00	6.275511e-07	2.445030e-07	3.830481e-07
0.02          	-6.891431e-08	6.607744e+00	7.655255e-07	3.138484e-07	4.516770e-07
0.0225        	-6.563812e-08	6.108904e+00	8.212015e-07	3.449626e-07	4.762389e-07
0.025         	-6.070709e-08	5.684546e+00	8.452319e-07	3.619089e-07	4.833231e-07
0.0275        	-5.496527e-08	5.321609e+00	8.410931e-07	3.655813e-07	4.755118e-07
0.03          	-4.896160e-08	5.009364e+00	9.261600e-07	4.141184e-07	5.120416e-07
0.0325        	-4.304010e-08	4.739089e+00	9.185932e-07	4.162565e-07	5.023367e-07
0.035         	-3.740411e-08	4.503715e+00	9.302764e-07	4.277341e-07	5.025423e-07
0.0375        	-3.216143e-08	4.297491e+00	9.365709e-07	4.361240e-07	5.004469e-07
0.04          	-2.735726e-08	4.115699e+00	9.412511e-07	4.432683e-07	4.979828e-07
0.0425        	-2.299771e-08	3.954523e+00	9.415251e-07	4.477648e-07	4.937603e-07
0.045         	-1.906519e-08	3.810818e+00	9.421632e-07	4.520164e-07	4.901468e-07
0.0475        	-1.552990e-08	3.681996e+00	9.410285e-07	4.549843e-07	4.860442e-07
0.05          	-1.235438e-08	3.565930e+00	9.424980e-07	4.588946e-07	4.836034e-07
0.0525        	-9.500915e-09	3.460843e+00	9.366377e-07	4.588179e-07	4.778197e-07
0.055         	-6.930326e-09	3.365264e+00	9.331423e-07	4.596408e-07	4.735015e-07
0.0575        	-4.607379e-09	3.277944e+00	9.332933e-07	4.620393e-07	4.712540e-07
0.06          	-2.499203e-09	3.197836e+00	9.258822e-07	4.604419e-07	4.654403e-07
0.0625        	-5.784808e-10	3.124078e+00	9.226427e-07	4.607429e-07	4.618998e-07
0.065         	1.179871e-09	3.055914e+00	9.154655e-07	4.589126e-07	4.565529e-07
0.0675        	2.796444e-09	2.992677e+00	9.123648e-07	4.589788e-07	4.533859e-07
0.07          	4.288337e-09	2.933857e+00	9.036843e-07	4.561305e-07	4.475538e-07
0.0725        	5.672583e-09	2.878992e+00	8.985153e-07	4.549302e-07	4.435851e-07
0.075         	6.962550e-09	2.827637e+00	8.931503e-07	4.535377e-07	4.396126e-07
0.0775        	8.168409e-09	2.779449e+00	8.881671e-07	4.522520e-07	4.359152e-07
0.08          	9.299815e-09	2.734148e+00	8.830887e-07	4.508442e-07	4.322445e-07
0.0825        	1.036279e-08	2.691452e+00	8.777405e-07	4.492330e-07	4.285075e-07
0.085         	1.136294e-08	2.651120e+00	8.724186e-07	4.475722e-07	4.248464e-07
0.0875        	1.230612e-08	2.612940e+00	8.687125e-07	4.466624e-07	4.220501e-07
0.09          	1.319772e-08	2.576746e+00	8.621294e-07	4.442624e-07	4.178670e-07
0.0925        	1.403927e-08	2.542366e+00	8.594487e-07	4.437636e-07	4.156851e-07
0.095         	1.483367e-08	2.509677e+00	8.533727e-07	4.415200e-07	4.118527e-07
0.0975        	1.558336e-08	2.478512e+00	8.530515e-07	4.421091e-07	4.109424e-07
0.1           	1.628938e-08	2.448775e+00	8.481612e-07	4.403700e-07	4.077912e-07
0.1025        	1.695484e-08	2.420371e+00	8.516793e-07	4.427945e-07	4.088848e-07
0.105         	1.757992e-08	2.393215e+00	8.462711e-07	4.407155e-07	4.055556e-07
0.1075        	1.816791e-08	2.367198e+00	8.397420e-07	4.380389e-07	4.017031e-07
0.11          	1.871864e-08	2.342243e+00	8.418367e-07	4.396370e-07	4.021997e-07
0.1125        	1.923298e-08	2.318311e+00	8.396281e-07	4.390470e-07	4.005811e-07
0.115         	1.971310e-08	2.295317e+00	8.338678e-07	4.366470e-07	3.972208e-07
0.1175        	2.015947e-08	2.273201e+00	8.302019e-07	4.352604e-07	3.949415e-07
0.12          	2.057283e-08	2.251932e+00	8.337936e-07	4.374696e-07	3.963240e-07
0.1225        	2.095477e-08	2.231433e+00	8.243950e-07	4.331523e-07	3.912427e-07
0.125         	2.130547e-08	2.211686e+00	8.257069e-07	4.341589e-07	3.915480e-07
0.1275        	2.162506e-08	2.192644e+00	8.198992e-07	4.315746e-07	3.883245e-07
0.13          	2.191532e-08	2.174244e+00	8.162796e-07	4.300551e-07	3.862245e-07
0.1325        	2.217738e-08	2.156486e+00	8.159547e-07	4.301548e-07	3.858000e-07
0.135         	2.241103e-08	2.139328e+00	8.116183e-07	4.282202e-07	3.833981e-07
0.1375        	2.261832e-08	2.122740e+00	8.168491e-07	4.310429e-07	3.858062e-07
0.14          	2.280054e-08	2.106689e+00	8.092062e-07	4.274036e-07	3.818026e-07
0.1425        	2.295774e-08	2.091129e+00	8.090596e-07	4.274876e-07	3.815721e-07
0.145         	2.309017e-08	2.076078e+00	8.081103e-07	4.271453e-07	3.809650e-07
0.1475        	2.319988e-08	2.061488e+00	8.067659e-07	4.265828e-07	3.801830e-07
0.15          	2.328811e-08	2.047365e+00	8.049941e-07	4.257852e-07	3.792090e-07
0.1525        	2.335539e-08	2.033659e+00	8.001570e-07	4.234339e-07	3.767231e-07
0.155         	2.340123e-08	2.020347e+00	7.969861e-07	4.218943e-07	3.750918e-07
0.1575        	2.342775e-08	2.007420e+00	7.944999e-07	4.206777e-07	3.738222e-07
0.16          	2.343550e-08	1.994879e+00	7.909854e-07	4.189282e-07	3.720572e-07
0.1625        	2.342520e-08	1.982696e+00	7.900320e-07	4.184412e-07	3.715908e-07
0.165         	2.339783e-08	1.970877e+00	7.861141e-07	4.164549e-07	3.696592e-07
0.1675        	2.335425e-08	1.959383e+00	7.846917e-07	4.157001e-07	3.689916e-07
0.17          	2.329520e-08	1.948192e+00	7.790787e-07	4.128345e-07	3.662441e-07
0.1725        	2.322162e-08	1.937301e+00	7.802105e-07	4.133269e-07	3.668836e-07
0.175         	2.313363e-08	1.926717e+00	7.786874e-07	4.124773e-07	3.662101e-07
