# Forces      
# CofR        : (0.000000e+00 0.000000e+00 0.000000e+00)
# Time        forces(pressure viscous porous)	moments(pressure viscous porous)
0.0025        	((3.221506e+01 1.161579e-07 -1.604386e-20) (3.712449e-01 2.865071e-10 4.459837e-21) (0.000000e+00 0.000000e+00 0.000000e+00)) ((1.775816e-19 -8.064594e-19 -3.674197e-15) (3.942651e-20 3.487976e-23 -4.235765e-12) (0.000000e+00 0.000000e+00 0.000000e+00))
0.005         	((3.999825e-02 -1.525709e-07 -2.152238e-22) (3.063124e-01 -1.104421e-09 2.511389e-22) (0.000000e+00 0.000000e+00 0.000000e+00)) ((1.961424e-21 1.743428e-22 -2.840590e-14) (-1.234274e-21 -7.897382e-21 5.617076e-12) (0.000000e+00 0.000000e+00 0.000000e+00))
0.0075        	((3.210269e-01 6.007386e-08 -3.555735e-22) (2.624267e-01 1.377528e-11 2.557406e-22) (0.000000e+00 0.000000e+00 0.000000e+00)) ((2.971752e-21 -7.882429e-21 -4.029715e-14) (-2.490735e-22 -6.728388e-21 -7.581678e-10) (0.000000e+00 0.000000e+00 0.000000e+00))
0.01          	((2.537833e-01 -1.414570e-08 -3.232085e-22) (2.311681e-01 1.450004e-09 2.262628e-22) (0.000000e+00 0.000000e+00 0.000000e+00)) ((2.677040e-21 -6.247301e-21 -1.762298e-14) (-2.078795e-22 -5.953577e-21 -1.557465e-09) (0.000000e+00 0.000000e+00 0.000000e+00))
0.0125        	((2.292919e-01 8.226674e-09 -3.125324e-22) (2.064805e-01 3.111882e-09 2.063351e-22) (0.000000e+00 0.000000e+00 0.000000e+00)) ((2.607968e-21 -5.664989e-21 -3.445784e-14) (-2.229467e-22 -5.329717e-21 -2.666590e-09) (0.000000e+00 0.000000e+00 0.000000e+00))
0.015         	((2.082365e-01 4.935640e-08 -3.023945e-22) (1.864345e-01 4.598756e-09 1.901910e-22) (0.000000e+00 0.000000e+00 0.000000e+00)) ((2.539627e-21 -5.157698e-21 -3.118024e-14) (-2.478224e-22 -4.821429e-21 -3.245424e-09) (0.000000e+00 0.000000e+00 0.000000e+00))
0.0175        	((1.898959e-01 2.569240e-08 -2.933030e-22) (1.699386e-01 5.685156e-09 1.770595e-22) (0.000000e+00 0.000000e+00 0.000000e+00)) ((2.473761e-21 -4.712718e-21 -2.884616e-14) (-2.731365e-22 -4.402134e-21 -3.463601e-09) (0.000000e+00 0.000000e+00 0.000000e+00))
0.02          	((1.741620e-01 3.172594e-08 -2.853539e-22) (1.562252e-01 6.550332e-09 1.663339e-22) (0.000000e+00 0.000000e+00 0.000000e+00)) ((2.413534e-21 -4.329690e-21 -2.697420e-14) (-2.967165e-22 -4.052761e-21 -3.445688e-09) (0.000000e+00 0.000000e+00 0.000000e+00))
0.0225        	((1.607215e-01 3.384973e-08 -2.784648e-22) (1.447237e-01 7.210344e-09 1.575295e-22) (0.000000e+00 0.000000e+00 0.000000e+00)) ((2.359862e-21 -4.001954e-21 -2.533857e-14) (-3.180617e-22 -3.759104e-21 -3.281881e-09) (0.000000e+00 0.000000e+00 0.000000e+00))
0.025         	((1.492290e-01 3.456389e-08 -2.724911e-22) (1.349983e-01 7.697708e-09 1.502647e-22) (0.000000e+00 0.000000e+00 0.000000e+00)) ((2.312589e-21 -3.721565e-21 -2.427834e-14) (-3.371873e-22 -3.510239e-21 -3.035330e-09) (0.000000e+00 0.000000e+00 0.000000e+00))
0.0275        	((1.393699e-01 3.401412e-08 -2.672811e-22) (1.267105e-01 8.040539e-09 1.442402e-22) (0.000000e+00 0.000000e+00 0.000000e+00)) ((2.270693e-21 -3.480977e-21 -2.366305e-14) (-3.542176e-22 -3.297728e-21 -2.748240e-09) (0.000000e+00 0.000000e+00 0.000000e+00))
0.03          	((1.308740e-01 3.802748e-08 -2.627188e-22) (1.195942e-01 8.280520e-09 1.392203e-22) (0.000000e+00 0.000000e+00 0.000000e+00)) ((2.233433e-21 -3.273603e-21 -2.287600e-14) (-3.693603e-22 -3.114924e-21 -2.448057e-09) (0.000000e+00 0.000000e+00 0.000000e+00))
0.0325        	((1.235158e-01 3.750741e-08 -2.586891e-22) (1.134387e-01 8.422250e-09 1.350190e-22) (0.000000e+00 0.000000e+00 0.000000e+00)) ((2.200008e-21 -3.093931e-21 -2.238080e-14) (-3.828262e-22 -2.956559e-21 -2.151983e-09) (0.000000e+00 0.000000e+00 0.000000e+00))
0.035         	((1.171102e-01 3.802144e-08 -2.551170e-22) (1.080755e-01 8.492382e-09 1.314871e-22) (0.000000e+00 0.000000e+00 0.000000e+00)) ((2.170069e-21 -2.937539e-21 -2.193835e-14) (-3.948227e-22 -2.818369e-21 -1.870184e-09) (0.000000e+00 0.000000e+00 0.000000e+00))
0.0375        	((1.115048e-01 3.832263e-08 -2.519227e-22) (1.033698e-01 8.505916e-09 1.285060e-22) (0.000000e+00 0.000000e+00 0.000000e+00)) ((2.143161e-21 -2.800787e-21 -2.159383e-14) (-4.055111e-22 -2.696909e-21 -1.608050e-09) (0.000000e+00 0.000000e+00 0.000000e+00))
0.04          	((1.065723e-01 3.858691e-08 -2.490602e-22) (9.921259e-02 8.475648e-09 1.259802e-22) (0.000000e+00 0.000000e+00 0.000000e+00)) ((2.118965e-21 -2.680507e-21 -2.131437e-14) (-4.150587e-22 -2.589460e-21 -1.367842e-09) (0.000000e+00 0.000000e+00 0.000000e+00))
0.0425        	((1.022103e-01 3.866377e-08 -2.464551e-22) (9.551588e-02 8.412484e-09 1.238329e-22) (0.000000e+00 0.000000e+00 0.000000e+00)) ((2.096692e-21 -2.574162e-21 -2.103721e-14) (-4.235510e-22 -2.493809e-21 -1.149865e-09) (0.000000e+00 0.000000e+00 0.000000e+00))
0.045         	((9.833292e-02 3.878518e-08 -2.440802e-22) (9.220796e-02 8.322979e-09 1.220023e-22) (0.000000e+00 0.000000e+00 0.000000e+00)) ((2.076202e-21 -2.479644e-21 -2.084084e-14) (-4.311218e-22 -2.408125e-21 -9.532388e-10) (0.000000e+00 0.000000e+00 0.000000e+00))
