# Force coefficients
# liftDir     : (0.000000e+00 1.000000e+00 0.000000e+00)
# dragDir     : (1.000000e+00 0.000000e+00 0.000000e+00)
# pitchAxis   : (0.000000e+00 0.000000e+00 1.000000e+00)
# magUInf     : 1.000000e+00
# lRef        : 1.000000e+00
# Aref        : 1.000000e-01
# CofR        : (0.000000e+00 0.000000e+00 0.000000e+00)
# Time        	Cm            	Cd            	Cl            	Cl(f)         	Cl(r)         
0.0025        	8.046279e-11	6.495206e+02	-1.027251e-06	-5.135449e-07	-5.137058e-07
0.005         	4.224321e-10	8.233407e+00	1.208968e-06	6.049062e-07	6.040613e-07
0.0075        	-4.443680e-10	1.252180e+01	-7.616236e-07	-3.812561e-07	-3.803674e-07
0.01          	-8.837199e-10	1.001315e+01	4.889460e-07	2.435893e-07	2.453567e-07
0.0125        	-1.269784e-09	8.781581e+00	2.778851e-08	1.262447e-08	1.516404e-08
0.015         	-1.601066e-09	7.945953e+00	1.529344e-08	6.045654e-09	9.247787e-09
0.0175        	-1.873854e-09	7.252037e+00	1.357622e-08	4.914258e-09	8.661966e-09
0.02          	-2.098149e-09	6.668136e+00	1.046517e-08	3.134437e-09	7.330736e-09
0.0225        	-2.280390e-09	6.173303e+00	1.312789e-08	4.283554e-09	8.844333e-09
0.025         	-2.427895e-09	5.751295e+00	1.277439e-08	3.959298e-09	8.815089e-09
0.0275        	-2.544783e-09	5.389163e+00	1.249122e-08	3.700825e-09	8.790390e-09
0.03          	-2.634916e-09	5.076470e+00	1.185996e-08	3.295065e-09	8.564898e-09
0.0325        	-1.960515e-09	4.804769e+00	1.058865e-07	5.098274e-08	5.490378e-08
0.035         	-1.020850e-09	4.567230e+00	1.093459e-07	5.365208e-08	5.569378e-08
0.0375        	1.081076e-10	4.358346e+00	1.200611e-07	6.013867e-08	5.992246e-08
0.04          	1.362458e-09	4.173567e+00	1.236650e-07	6.319498e-08	6.047007e-08
0.0425        	2.689898e-09	4.009144e+00	1.301965e-07	6.778813e-08	6.240833e-08
0.045         	4.048694e-09	3.862073e+00	1.367553e-07	7.242633e-08	6.432894e-08
0.0475        	5.406260e-09	3.729790e+00	1.437307e-07	7.727162e-08	6.645910e-08
0.05          	6.737240e-09	3.610228e+00	1.525842e-07	8.302932e-08	6.955484e-08
0.0525        	8.023800e-09	3.501669e+00	1.548477e-07	8.544767e-08	6.940007e-08
0.055         	9.252019e-09	3.402688e+00	1.597347e-07	8.911939e-08	7.061535e-08
0.0575        	1.041378e-08	3.312040e+00	1.520966e-07	8.646208e-08	6.563451e-08
0.06          	1.150333e-08	3.228751e+00	1.645995e-07	9.380310e-08	7.079644e-08
0.0625        	1.180708e-08	3.151884e+00	2.620394e-07	1.428268e-07	1.192126e-07
0.065         	1.209817e-08	3.080773e+00	2.620325e-07	1.431144e-07	1.189181e-07
0.0675        	1.236397e-08	3.014743e+00	2.740884e-07	1.494082e-07	1.246802e-07
0.07          	1.259775e-08	2.953257e+00	2.704580e-07	1.478267e-07	1.226312e-07
0.0725        	1.279274e-08	2.895878e+00	2.829712e-07	1.542783e-07	1.286929e-07
0.075         	1.294710e-08	2.842200e+00	2.868626e-07	1.563784e-07	1.304842e-07
0.0775        	1.305941e-08	2.791830e+00	2.788136e-07	1.524662e-07	1.263474e-07
0.08          	1.312911e-08	2.744474e+00	1.653273e-07	9.579276e-08	6.953453e-08
0.0825        	1.315691e-08	2.699868e+00	2.688475e-07	1.475807e-07	1.212669e-07
0.085         	1.314193e-08	2.657765e+00	3.080328e-07	1.671583e-07	1.408745e-07
0.0875        	1.308705e-08	2.617947e+00	3.104748e-07	1.683245e-07	1.421504e-07
0.09          	1.299470e-08	2.580234e+00	3.193019e-07	1.726457e-07	1.466563e-07
0.0925        	1.286620e-08	2.544472e+00	3.236459e-07	1.746891e-07	1.489567e-07
0.095         	1.270391e-08	2.510501e+00	3.220984e-07	1.737531e-07	1.483453e-07
0.0975        	1.251077e-08	2.478208e+00	3.424684e-07	1.837449e-07	1.587234e-07
0.1           	1.228854e-08	2.447452e+00	3.347910e-07	1.796841e-07	1.551070e-07
0.1025        	1.203956e-08	2.418101e+00	3.397903e-07	1.819347e-07	1.578556e-07
0.105         	1.176573e-08	2.390081e+00	3.420698e-07	1.828006e-07	1.592692e-07
0.1075        	1.146923e-08	2.363281e+00	3.457111e-07	1.843248e-07	1.613863e-07
0.11          	1.115207e-08	2.337650e+00	3.513525e-07	1.868283e-07	1.645242e-07
0.1125        	1.081627e-08	2.313077e+00	3.498454e-07	1.857390e-07	1.641064e-07
0.115         	1.046363e-08	2.289540e+00	3.532294e-07	1.870783e-07	1.661511e-07
0.1175        	1.009635e-08	2.266948e+00	3.497370e-07	1.849648e-07	1.647721e-07
0.12          	9.715453e-09	2.245252e+00	3.579217e-07	1.886763e-07	1.692454e-07
0.1225        	9.322830e-09	2.224405e+00	3.633078e-07	1.909767e-07	1.723311e-07
0.125         	8.919959e-09	2.204384e+00	3.633581e-07	1.905990e-07	1.727591e-07
0.1275        	8.508156e-09	2.185074e+00	3.674213e-07	1.922188e-07	1.752025e-07
0.13          	8.088601e-09	2.166461e+00	3.621777e-07	1.891775e-07	1.730003e-07
0.1325        	7.662320e-09	2.148510e+00	3.662369e-07	1.907808e-07	1.754561e-07
0.135         	7.230462e-09	2.131187e+00	3.702654e-07	1.923632e-07	1.779022e-07
0.1375        	6.793914e-09	2.114477e+00	3.693866e-07	1.914872e-07	1.778994e-07
0.14          	6.353569e-09	2.098348e+00	3.733470e-07	1.930271e-07	1.803199e-07
0.1425        	5.910370e-09	2.082748e+00	3.709232e-07	1.913720e-07	1.795512e-07
0.145         	5.465079e-09	2.067667e+00	3.761629e-07	1.935465e-07	1.826164e-07
0.1475        	5.018485e-09	2.053061e+00	3.734776e-07	1.917573e-07	1.817203e-07
0.15          	4.570936e-09	2.038923e+00	3.542383e-07	1.816901e-07	1.725482e-07
0.1525        	4.123530e-09	2.025279e+00	3.618452e-07	1.850461e-07	1.767991e-07
0.155         	3.676546e-09	2.012044e+00	3.681185e-07	1.877358e-07	1.803827e-07
0.1575        	3.230590e-09	1.999198e+00	3.700343e-07	1.882477e-07	1.817866e-07
0.16          	2.786011e-09	1.986721e+00	3.741226e-07	1.898473e-07	1.842753e-07
0.1625        	2.343200e-09	1.974618e+00	3.726546e-07	1.886705e-07	1.839841e-07
0.165         	1.902553e-09	1.962864e+00	3.815594e-07	1.926823e-07	1.888771e-07
0.1675        	1.464618e-09	1.951488e+00	3.762685e-07	1.895989e-07	1.866696e-07
0.17          	1.029375e-09	1.940414e+00	3.826112e-07	1.923350e-07	1.902762e-07
0.1725        	5.973180e-10	1.929672e+00	3.814311e-07	1.913129e-07	1.901183e-07
