# Forces      
# CofR        : (0.000000e+00 0.000000e+00 0.000000e+00)
# Time        forces(pressure viscous porous)	moments(pressure viscous porous)
0.0025        	((3.209697e+01 -5.114853e-08 4.034380e-20) (3.790645e-01 -2.140004e-10 1.108751e-19) (0.000000e+00 0.000000e+00 0.000000e+00)) ((-4.335328e-18 -2.013212e-18 -6.277260e-16) (5.333130e-19 7.909040e-20 4.023767e-12) (0.000000e+00 0.000000e+00 0.000000e+00))
0.005         	((1.015181e-01 6.033640e-08 3.015403e-21) (3.101522e-01 1.119745e-10 -7.455446e-22) (0.000000e+00 0.000000e+00 0.000000e+00)) ((-2.546766e-20 -4.681339e-21 -2.721331e-15) (2.841712e-21 -1.951752e-20 2.112432e-11) (0.000000e+00 0.000000e+00 0.000000e+00))
0.0075        	((3.607472e-01 -3.803774e-08 3.792836e-21) (2.653429e-01 -4.344029e-11 -5.016403e-22) (0.000000e+00 0.000000e+00 0.000000e+00)) ((-4.743032e-20 -2.167874e-20 -6.544746e-15) (5.542696e-21 -1.604538e-20 -2.221186e-11) (0.000000e+00 0.000000e+00 0.000000e+00))
0.01          	((2.674827e-01 2.438345e-08 3.583952e-21) (2.331750e-01 6.385021e-11 -7.122489e-22) (0.000000e+00 0.000000e+00 0.000000e+00)) ((-3.462699e-20 -1.585504e-20 -3.016711e-15) (4.146338e-21 -1.423084e-20 -4.418298e-11) (0.000000e+00 0.000000e+00 0.000000e+00))
0.0125        	((2.309128e-01 1.333524e-09 3.555198e-21) (2.081663e-01 5.590113e-11 -8.791526e-22) (0.000000e+00 0.000000e+00 0.000000e+00)) ((-2.947678e-20 -1.359301e-20 -2.706648e-15) (3.651592e-21 -1.272808e-20 -6.348650e-11) (0.000000e+00 0.000000e+00 0.000000e+00))
0.015         	((2.094247e-01 7.163116e-10 3.553883e-21) (1.878729e-01 4.836047e-11 -1.024649e-21) (0.000000e+00 0.000000e+00 0.000000e+00)) ((-2.642524e-20 -1.229835e-20 -1.759035e-15) (3.375899e-21 -1.149135e-20 -8.005156e-11) (0.000000e+00 0.000000e+00 0.000000e+00))
0.0175        	((1.914265e-01 6.381852e-10 3.549896e-21) (1.711754e-01 4.062606e-11 -1.146573e-21) (0.000000e+00 0.000000e+00 0.000000e+00)) ((-2.387613e-20 -1.121174e-20 -1.476123e-15) (3.137111e-21 -1.047500e-20 -9.369123e-11) (0.000000e+00 0.000000e+00 0.000000e+00))
0.02          	((1.761116e-01 4.898536e-10 3.545865e-21) (1.572952e-01 3.340503e-11 -1.248021e-21) (0.000000e+00 0.000000e+00 0.000000e+00)) ((-2.171064e-20 -1.028614e-20 -1.342186e-15) (2.927810e-21 -9.630838e-21 -1.049061e-10) (0.000000e+00 0.000000e+00 0.000000e+00))
0.0225        	((1.630100e-01 6.297211e-10 3.541322e-21) (1.456552e-01 2.667326e-11 -1.332542e-21) (0.000000e+00 0.000000e+00 0.000000e+00)) ((-1.986131e-20 -9.493745e-21 -1.215813e-15) (2.744289e-21 -8.923179e-21 -1.140183e-10) (0.000000e+00 0.000000e+00 0.000000e+00))
0.025         	((1.517504e-01 6.174477e-10 3.536488e-21) (1.358144e-01 2.127163e-11 -1.403229e-21) (0.000000e+00 0.000000e+00 0.000000e+00)) ((-1.827567e-20 -8.812754e-21 -1.136620e-15) (2.583198e-21 -8.324893e-21 -1.213936e-10) (0.000000e+00 0.000000e+00 0.000000e+00))
0.0275        	((1.420278e-01 6.078754e-10 3.531269e-21) (1.274304e-01 1.668538e-11 -1.462668e-21) (0.000000e+00 0.000000e+00 0.000000e+00)) ((-1.690895e-20 -8.224878e-21 -1.102725e-15) (2.441356e-21 -7.815062e-21 -1.272380e-10) (0.000000e+00 0.000000e+00 0.000000e+00))
0.03          	((1.335896e-01 5.808791e-10 3.526236e-21) (1.202339e-01 1.211906e-11 -1.512972e-21) (0.000000e+00 0.000000e+00 0.000000e+00)) ((-1.572370e-20 -7.714757e-21 -1.083314e-15) (2.315861e-21 -7.377336e-21 -1.317447e-10) (0.000000e+00 0.000000e+00 0.000000e+00))
0.0325        	((1.262269e-01 5.251975e-09 3.521426e-21) (1.140115e-01 4.235138e-11 -1.555813e-21) (0.000000e+00 0.000000e+00 0.000000e+00)) ((-1.468853e-20 -7.269392e-21 -3.791879e-15) (2.204210e-21 -6.998844e-21 -9.802197e-11) (0.000000e+00 0.000000e+00 0.000000e+00))
0.035         	((1.197687e-01 5.393341e-09 3.516526e-21) (1.085928e-01 7.395223e-11 -1.592327e-21) (0.000000e+00 0.000000e+00 0.000000e+00)) ((-1.377954e-20 -6.878519e-21 -4.117777e-15) (2.104498e-21 -6.669242e-21 -5.103837e-11) (0.000000e+00 0.000000e+00 0.000000e+00))
0.0375        	((1.140764e-01 5.897348e-09 3.510774e-21) (1.038409e-01 1.057085e-10 -1.623377e-21) (0.000000e+00 0.000000e+00 0.000000e+00)) ((-1.297973e-20 -6.534202e-21 -4.307648e-15) (2.015349e-21 -6.380092e-21 5.409687e-12) (0.000000e+00 0.000000e+00 0.000000e+00))
0.04          	((1.090333e-01 6.047858e-09 3.505277e-21) (9.964508e-02 1.353945e-10 -1.650113e-21) (0.000000e+00 0.000000e+00 0.000000e+00)) ((-1.227262e-20 -6.229523e-21 -4.344523e-15) (1.935219e-21 -6.124688e-21 6.812723e-11) (0.000000e+00 0.000000e+00 0.000000e+00))
0.0425        	((1.045413e-01 6.347220e-09 3.499817e-21) (9.591590e-02 1.626033e-10 -1.673310e-21) (0.000000e+00 0.000000e+00 0.000000e+00)) ((-1.164095e-20 -5.958120e-21 -4.445676e-15) (1.862496e-21 -5.897657e-21 1.344993e-10) (0.000000e+00 0.000000e+00 0.000000e+00))
0.045         	((1.005232e-01 6.650409e-09 3.493776e-21) (9.258044e-02 1.873545e-10 -1.693298e-21) (0.000000e+00 0.000000e+00 0.000000e+00)) ((-1.107713e-20 -5.715669e-21 -4.580559e-15) (1.796654e-21 -5.694477e-21 2.024393e-10) (0.000000e+00 0.000000e+00 0.000000e+00))
0.0475        	((9.691034e-02 6.976100e-09 3.488066e-21) (8.957917e-02 2.104365e-10 -1.710773e-21) (0.000000e+00 0.000000e+00 0.000000e+00)) ((-1.056833e-20 -5.497635e-21 -4.707527e-15) (1.736425e-21 -5.511630e-21 2.703177e-10) (0.000000e+00 0.000000e+00 0.000000e+00))
0.05          	((9.364816e-02 7.394124e-09 3.481953e-21) (8.686326e-02 2.350844e-10 -1.725910e-21) (0.000000e+00 0.000000e+00 0.000000e+00)) ((-1.010734e-20 -5.300674e-21 -4.713366e-15) (1.681248e-21 -5.346133e-21 3.368667e-10) (0.000000e+00 0.000000e+00 0.000000e+00))
0.0525        	((9.069109e-02 7.485235e-09 3.475938e-21) (8.439237e-02 2.571519e-10 -1.739074e-21) (0.000000e+00 0.000000e+00 0.000000e+00)) ((-9.689112e-21 -5.122260e-21 -4.800501e-15) (1.630702e-21 -5.195544e-21 4.011948e-10) (0.000000e+00 0.000000e+00 0.000000e+00))
0.055         	((8.800129e-02 7.708040e-09 3.469619e-21) (8.213308e-02 2.786963e-10 -1.750441e-21) (0.000000e+00 0.000000e+00 0.000000e+00)) ((-9.309077e-21 -4.960158e-21 -4.814733e-15) (1.584406e-21 -5.057782e-21 4.626057e-10) (0.000000e+00 0.000000e+00 0.000000e+00))
0.0575        	((8.554439e-02 7.306497e-09 3.463574e-21) (8.005762e-02 2.983322e-10 -1.760425e-21) (0.000000e+00 0.000000e+00 0.000000e+00)) ((-8.960224e-21 -4.812046e-21 -4.728538e-15) (1.541611e-21 -4.931206e-21 5.206939e-10) (0.000000e+00 0.000000e+00 0.000000e+00))
0.06          	((8.329481e-02 7.909002e-09 3.457161e-21) (7.814273e-02 3.209752e-10 -1.768998e-21) (0.000000e+00 0.000000e+00 0.000000e+00)) ((-8.641930e-21 -4.676740e-21 -4.701043e-15) (1.502394e-21 -4.814288e-21 5.751711e-10) (0.000000e+00 0.000000e+00 0.000000e+00))
0.0625        	((8.122533e-02 1.272887e-08 3.451461e-21) (7.636886e-02 3.731029e-10 -1.776665e-21) (0.000000e+00 0.000000e+00 0.000000e+00)) ((-8.346820e-21 -4.552045e-21 -5.229977e-15) (1.465748e-21 -4.705995e-21 5.903590e-10) (0.000000e+00 0.000000e+00 0.000000e+00))
0.065         	((7.931915e-02 1.267894e-08 3.445497e-21) (7.471948e-02 4.226825e-10 -1.783216e-21) (0.000000e+00 0.000000e+00 0.000000e+00)) ((-8.076319e-21 -4.437507e-21 -5.099297e-15) (1.431987e-21 -4.605251e-21 6.049137e-10) (0.000000e+00 0.000000e+00 0.000000e+00))
0.0675        	((7.755659e-02 1.323474e-08 3.439796e-21) (7.318056e-02 4.696783e-10 -1.789039e-21) (0.000000e+00 0.000000e+00 0.000000e+00)) ((-7.824741e-21 -4.331563e-21 -5.021266e-15) (1.400420e-21 -4.511226e-21 6.182037e-10) (0.000000e+00 0.000000e+00 0.000000e+00))
0.07          	((7.592273e-02 1.301408e-08 3.434167e-21) (7.174012e-02 5.088218e-10 -1.794112e-21) (0.000000e+00 0.000000e+00 0.000000e+00)) ((-7.590930e-21 -4.233394e-21 -4.872262e-15) (1.370930e-21 -4.423195e-21 6.298923e-10) (0.000000e+00 0.000000e+00 0.000000e+00))
0.0725        	((7.440598e-02 1.359900e-08 3.428374e-21) (7.038793e-02 5.495626e-10 -1.798413e-21) (0.000000e+00 0.000000e+00 0.000000e+00)) ((-7.374408e-21 -4.142447e-21 -4.905518e-15) (1.343557e-21 -4.340491e-21 6.396419e-10) (0.000000e+00 0.000000e+00 0.000000e+00))
0.075         	((7.299478e-02 1.376030e-08 3.422240e-21) (6.911521e-02 5.828355e-10 -1.801943e-21) (0.000000e+00 0.000000e+00 0.000000e+00)) ((-7.174309e-21 -4.058018e-21 -4.729287e-15) (1.318167e-21 -4.262550e-21 6.473598e-10) (0.000000e+00 0.000000e+00 0.000000e+00))
0.0775        	((7.167723e-02 1.333340e-08 3.416410e-21) (6.791426e-02 6.072769e-10 -1.805104e-21) (0.000000e+00 0.000000e+00 0.000000e+00)) ((-6.985626e-21 -3.979105e-21 -4.695919e-15) (1.294131e-21 -4.188938e-21 6.529754e-10) (0.000000e+00 0.000000e+00 0.000000e+00))
0.08          	((7.044530e-02 7.660036e-09 3.410845e-21) (6.677840e-02 6.063282e-10 -1.807850e-21) (0.000000e+00 0.000000e+00 0.000000e+00)) ((-6.809017e-21 -3.905421e-21 -4.528300e-15) (1.271580e-21 -4.119261e-21 6.564601e-10) (0.000000e+00 0.000000e+00 0.000000e+00))
0.0825        	((6.929162e-02 1.281712e-08 3.405393e-21) (6.570179e-02 6.252608e-10 -1.810121e-21) (0.000000e+00 0.000000e+00 0.000000e+00)) ((-6.643847e-21 -3.836523e-21 -4.498152e-15) (1.250391e-21 -4.053200e-21 6.578500e-10) (0.000000e+00 0.000000e+00 0.000000e+00))
