# Force coefficients
# liftDir     : (0.000000e+00 1.000000e+00 0.000000e+00)
# dragDir     : (1.000000e+00 0.000000e+00 0.000000e+00)
# pitchAxis   : (0.000000e+00 0.000000e+00 1.000000e+00)
# magUInf     : 1.000000e+00
# lRef        : 1.000000e+00
# Aref        : 1.000000e-01
# CofR        : (0.000000e+00 0.000000e+00 0.000000e+00)
# Time        	Cm            	Cd            	Cl            	Cl(f)         	Cl(r)         
0.0025        	-7.909078e-10	7.459547e+02	6.269488e-07	3.126835e-07	3.142653e-07
0.005         	-3.989277e-07	1.395704e+01	7.094375e-08	-3.634558e-07	4.343996e-07
0.0075        	-1.494067e-09	3.633762e+01	7.694386e-07	3.832252e-07	3.862134e-07
0.01          	-3.422448e-08	2.795555e+01	1.113681e-06	5.226158e-07	5.910648e-07
0.0125        	-3.068357e-08	2.454782e+01	1.087714e-06	5.131735e-07	5.745407e-07
0.015         	-3.087637e-08	2.203906e+01	7.591314e-07	3.486893e-07	4.104421e-07
0.0175        	-3.217387e-08	2.019821e+01	6.492842e-07	2.924682e-07	3.568160e-07
0.02          	-3.426703e-08	1.877056e+01	5.830726e-07	2.572693e-07	3.258033e-07
0.0225        	3.975201e-08	1.762559e+01	9.019010e-07	4.907025e-07	4.111985e-07
0.025         	7.543952e-08	1.668245e+01	9.723101e-07	5.615946e-07	4.107155e-07
0.0275        	3.537616e-07	1.588870e+01	1.206730e-06	9.571268e-07	2.496036e-07
0.03          	5.026328e-07	1.520899e+01	1.365213e-06	1.185239e-06	1.799737e-07
0.0325        	5.810475e-07	1.461834e+01	1.435393e-06	1.298744e-06	1.366490e-07
0.035         	6.181327e-07	1.409881e+01	1.443237e-06	1.339751e-06	1.034857e-07
0.0375        	6.300083e-07	1.363709e+01	1.430283e-06	1.345150e-06	8.513322e-08
0.04          	6.262647e-07	1.322311e+01	1.406429e-06	1.329479e-06	7.694964e-08
0.0425        	6.128706e-07	1.284910e+01	1.381997e-06	1.303869e-06	7.812787e-08
