# Forces      
# CofR        : (0.000000e+00 0.000000e+00 0.000000e+00)
# Time        forces(pressure viscous porous)	moments(pressure viscous porous)
0.0025        	((3.521275e+01 3.077979e-08 3.655289e-20) (2.084988e+00 5.676547e-10 4.262401e-19) (0.000000e+00 0.000000e+00 0.000000e+00)) ((-4.774653e-18 -2.202651e-18 -3.048777e-16) (1.814060e-18 2.201021e-19 -3.954509e-11) (0.000000e+00 0.000000e+00 0.000000e+00))
0.005         	((-4.535340e-01 2.019033e-08 7.307397e-21) (1.151386e+00 -1.664315e-08 -3.142621e-20) (0.000000e+00 0.000000e+00 0.000000e+00)) ((6.318577e-20 2.657612e-20 1.426257e-14) (-2.043540e-20 -7.905979e-20 -1.994640e-08) (0.000000e+00 0.000000e+00 0.000000e+00))
0.0075        	((9.700934e-01 4.026576e-08 3.179019e-21) (8.467877e-01 -1.793830e-09 1.041627e-20) (0.000000e+00 0.000000e+00 0.000000e+00)) ((-1.340120e-19 -5.926107e-20 -1.670247e-15) (5.207054e-20 -4.490381e-20 -7.470170e-11) (0.000000e+00 0.000000e+00 0.000000e+00))
0.01          	((7.017196e-01 5.477740e-08 3.559449e-21) (6.960578e-01 9.066299e-10 4.006192e-21) (0.000000e+00 0.000000e+00 0.000000e+00)) ((-9.485521e-20 -4.301101e-20 -1.657106e-16) (3.751447e-20 -3.802025e-20 -1.711224e-09) (0.000000e+00 0.000000e+00 0.000000e+00))
0.0125        	((6.209523e-01 5.212032e-08 3.617803e-21) (6.064385e-01 2.265386e-09 2.205068e-21) (0.000000e+00 0.000000e+00 0.000000e+00)) ((-8.324794e-20 -3.812137e-20 1.303975e-15) (3.315014e-20 -3.306009e-20 -1.534180e-09) (0.000000e+00 0.000000e+00 0.000000e+00))
0.015         	((5.561847e-01 3.496497e-08 3.641600e-21) (5.457682e-01 2.991602e-09 8.814114e-22) (0.000000e+00 0.000000e+00 0.000000e+00)) ((-7.400159e-20 -3.418236e-20 3.077576e-16) (2.964805e-20 -2.980192e-20 -1.543819e-09) (0.000000e+00 0.000000e+00 0.000000e+00))
0.0175        	((5.087939e-01 2.897487e-08 3.633315e-21) (5.011165e-01 3.489337e-09 1.916469e-23) (0.000000e+00 0.000000e+00 0.000000e+00)) ((-6.728637e-20 -3.128772e-20 2.092383e-16) (2.708778e-20 -2.739709e-20 -1.608694e-09) (0.000000e+00 0.000000e+00 0.000000e+00))
0.02          	((4.721138e-01 2.535534e-08 3.609690e-21) (4.664140e-01 3.798286e-09 -5.771438e-22) (0.000000e+00 0.000000e+00 0.000000e+00)) ((-6.211878e-20 -2.903909e-20 2.436744e-16) (2.510815e-20 -2.552437e-20 -1.713352e-09) (0.000000e+00 0.000000e+00 0.000000e+00))
0.0225        	((4.428608e-01 3.430737e-08 3.578573e-21) (4.384187e-01 1.078768e-08 -1.003617e-21) (0.000000e+00 0.000000e+00 0.000000e+00)) ((-5.802030e-20 -2.724038e-20 2.348788e-16) (2.353198e-20 -2.400854e-20 1.987600e-09) (0.000000e+00 0.000000e+00 0.000000e+00))
0.025         	((4.189109e-01 3.376704e-08 3.544320e-21) (4.152117e-01 1.484846e-08 -1.318439e-21) (0.000000e+00 0.000000e+00 0.000000e+00)) ((-5.468192e-20 -2.576414e-20 3.724268e-16) (2.224396e-20 -2.274775e-20 3.771976e-09) (0.000000e+00 0.000000e+00 0.000000e+00))
0.0275        	((3.988658e-01 3.711360e-08 3.509165e-21) (3.955692e-01 2.322291e-08 -1.557562e-21) (0.000000e+00 0.000000e+00 0.000000e+00)) ((-5.190076e-20 -2.452616e-20 8.384341e-16) (2.116800e-20 -2.167744e-20 1.768808e-08) (0.000000e+00 0.000000e+00 0.000000e+00))
0.03          	((3.817841e-01 4.021041e-08 3.474454e-21) (3.786652e-01 2.805023e-08 -1.743841e-21) (0.000000e+00 0.000000e+00 0.000000e+00)) ((-4.954046e-20 -2.346956e-20 8.075883e-16) (2.025277e-20 -2.075398e-20 2.513164e-08) (0.000000e+00 0.000000e+00 0.000000e+00))
0.0325        	((3.669980e-01 4.120955e-08 3.440922e-21) (3.639192e-01 3.056011e-08 -1.892523e-21) (0.000000e+00 0.000000e+00 0.000000e+00)) ((-4.750449e-20 -2.255385e-20 6.363809e-16) (1.946177e-20 -1.994678e-20 2.905238e-08) (0.000000e+00 0.000000e+00 0.000000e+00))
0.035         	((3.540311e-01 4.041898e-08 3.408928e-21) (3.509094e-01 3.174285e-08 -2.013838e-21) (0.000000e+00 0.000000e+00 0.000000e+00)) ((-4.572425e-20 -2.175010e-20 6.796262e-16) (1.876903e-20 -1.923348e-20 3.090663e-08) (0.000000e+00 0.000000e+00 0.000000e+00))
0.0375        	((3.425340e-01 3.939198e-08 3.378605e-21) (3.393206e-01 3.212217e-08 -2.114754e-21) (0.000000e+00 0.000000e+00 0.000000e+00)) ((-4.414963e-20 -2.103697e-20 6.741789e-16) (1.815548e-20 -1.859732e-20 3.150042e-08) (0.000000e+00 0.000000e+00 0.000000e+00))
0.04          	((3.322432e-01 3.832489e-08 3.350001e-21) (3.289123e-01 3.199654e-08 -2.200170e-21) (0.000000e+00 0.000000e+00 0.000000e+00)) ((-4.274300e-20 -2.039838e-20 6.453154e-16) (1.760676e-20 -1.802546e-20 3.131324e-08) (0.000000e+00 0.000000e+00 0.000000e+00))
0.0425        	((3.229580e-01 3.756198e-08 3.323010e-21) (3.194971e-01 3.153787e-08 -2.273523e-21) (0.000000e+00 0.000000e+00 0.000000e+00)) ((-4.147597e-20 -1.982200e-20 5.027191e-16) (1.711204e-20 -1.750781e-20 3.064353e-08) (0.000000e+00 0.000000e+00 0.000000e+00))
0.045         	((3.145219e-01 3.616574e-08 3.297574e-21) (3.109269e-01 3.089035e-08 -2.337331e-21) (0.000000e+00 0.000000e+00 0.000000e+00)) ((-4.032636e-20 -1.929823e-20 5.457539e-16) (1.666279e-20 -1.703636e-20 2.968187e-08) (0.000000e+00 0.000000e+00 0.000000e+00))
0.0475        	((3.068113e-01 3.521084e-08 3.273607e-21) (3.030824e-01 3.013151e-08 -2.393455e-21) (0.000000e+00 0.000000e+00 0.000000e+00)) ((-3.927673e-20 -1.881945e-20 5.203747e-16) (1.625233e-20 -1.660467e-20 2.855277e-08) (0.000000e+00 0.000000e+00 0.000000e+00))
0.05          	((2.997266e-01 3.484303e-08 3.250961e-21) (2.958669e-01 2.930009e-08 -2.443242e-21) (0.000000e+00 0.000000e+00 0.000000e+00)) ((-3.831319e-20 -1.837951e-20 4.233928e-16) (1.587529e-20 -1.620748e-20 2.733755e-08) (0.000000e+00 0.000000e+00 0.000000e+00))
0.0525        	((2.931869e-01 3.389973e-08 3.229568e-21) (2.892007e-01 2.843793e-08 -2.487800e-21) (0.000000e+00 0.000000e+00 0.000000e+00)) ((-3.742442e-20 -1.797343e-20 4.309466e-16) (1.552732e-20 -1.584044e-20 2.608929e-08) (0.000000e+00 0.000000e+00 0.000000e+00))
