# Force coefficients
# liftDir     : (0.000000e+00 1.000000e+00 0.000000e+00)
# dragDir     : (1.000000e+00 0.000000e+00 0.000000e+00)
# pitchAxis   : (0.000000e+00 0.000000e+00 1.000000e+00)
# magUInf     : 1.000000e+00
# lRef        : 1.000000e+00
# Aref        : 1.000000e-01
# CofR        : (0.000000e+00 0.000000e+00 0.000000e+00)
# Time        	Cm            	Cd            	Cl            	Cl(f)         	Cl(r)         
0.0025        	-1.125274e-10	6.490765e+02	1.247441e-06	6.236082e-07	6.238332e-07
0.005         	-7.568864e-10	7.677980e+00	-1.668794e-06	-8.351538e-07	-8.336401e-07
0.0075        	1.958032e-08	1.219440e+01	6.927500e-07	3.659553e-07	3.267947e-07
0.01          	1.105232e-08	9.769150e+00	5.052938e-07	2.636992e-07	2.415946e-07
0.0125        	-2.609880e-09	8.599623e+00	3.148753e-07	1.548278e-07	1.600475e-07
0.015         	-1.670766e-08	7.811544e+00	3.881070e-07	1.773458e-07	2.107612e-07
0.0175        	-2.932116e-08	7.154521e+00	3.754469e-07	1.584023e-07	2.170446e-07
0.02          	-3.978174e-08	6.599800e+00	3.891821e-07	1.548093e-07	2.343728e-07
0.0225        	-4.802258e-08	6.128317e+00	4.003457e-07	1.521503e-07	2.481954e-07
0.025         	-5.422546e-08	5.725145e+00	4.096294e-07	1.505893e-07	2.590402e-07
0.0275        	-5.866940e-08	5.378275e+00	4.067268e-07	1.446940e-07	2.620328e-07
0.03          	-6.164715e-08	5.078016e+00	4.070735e-07	1.418896e-07	2.651839e-07
0.0325        	-6.343095e-08	4.816469e+00	4.140398e-07	1.435890e-07	2.704509e-07
0.035         	-6.426090e-08	4.587221e+00	4.096216e-07	1.405499e-07	2.690717e-07
0.0375        	-6.433846e-08	4.385086e+00	4.137263e-07	1.425247e-07	2.712016e-07
0.04          	-6.383642e-08	4.205786e+00	4.145354e-07	1.434313e-07	2.711041e-07
0.0425        	-6.289564e-08	4.045784e+00	4.085747e-07	1.413917e-07	2.671830e-07
0.045         	-6.162427e-08	3.902232e+00	4.090727e-07	1.429121e-07	2.661606e-07
0.0475        	-6.010530e-08	3.772719e+00	4.305273e-07	1.551583e-07	2.753689e-07
