# Forces      
# CofR        : (0.000000e+00 0.000000e+00 0.000000e+00)
# Time        forces(pressure viscous porous)	moments(pressure viscous porous)
0.0025        	((3.207498e+01 6.212405e-08 4.043406e-20) (3.788475e-01 2.480205e-10 1.214957e-19) (0.000000e+00 0.000000e+00 0.000000e+00)) ((-4.331882e-18 -2.011971e-18 1.873013e-15) (5.330785e-19 8.027701e-20 -5.628245e-12) (0.000000e+00 0.000000e+00 0.000000e+00))
0.005         	((7.395363e-02 -8.339539e-08 3.031635e-21) (3.099453e-01 -4.429875e-11 -8.673136e-22) (0.000000e+00 0.000000e+00 0.000000e+00)) ((-2.119040e-20 -3.016951e-21 -1.230660e-15) (2.323598e-21 -1.957143e-20 -3.784309e-11) (0.000000e+00 0.000000e+00 0.000000e+00))
0.0075        	((3.446345e-01 3.461058e-08 3.790609e-21) (2.650857e-01 2.691505e-11 -4.364797e-22) (0.000000e+00 0.000000e+00 0.000000e+00)) ((-4.505981e-20 -2.069447e-20 -1.951195e-15) (5.259707e-21 -1.605312e-20 9.790177e-10) (0.000000e+00 0.000000e+00 0.000000e+00))
0.01          	((2.555696e-01 2.517052e-08 3.569592e-21) (2.328879e-01 9.417003e-11 -6.482207e-22) (0.000000e+00 0.000000e+00 0.000000e+00)) ((-3.286833e-20 -1.512200e-20 -9.416635e-17) (3.934046e-21 -1.422572e-20 5.526162e-10) (0.000000e+00 0.000000e+00 0.000000e+00))
0.0125        	((2.221126e-01 1.566129e-08 3.535132e-21) (2.078685e-01 8.248068e-11 -8.089384e-22) (0.000000e+00 0.000000e+00 0.000000e+00)) ((-2.816813e-20 -1.304815e-20 1.846049e-16) (3.492108e-21 -1.271348e-20 -1.304942e-10) (0.000000e+00 0.000000e+00 0.000000e+00))
0.015         	((2.030019e-01 1.934267e-08 3.529798e-21) (1.875753e-01 6.267709e-11 -9.480536e-22) (0.000000e+00 0.000000e+00 0.000000e+00)) ((-2.546435e-20 -1.189763e-20 1.246273e-16) (3.257264e-21 -1.147042e-20 -8.353830e-10) (0.000000e+00 0.000000e+00 0.000000e+00))
0.0175        	((1.868410e-01 1.873618e-08 3.523051e-21) (1.708851e-01 3.616738e-11 -1.065947e-21) (0.000000e+00 0.000000e+00 0.000000e+00)) ((-2.318476e-20 -1.092264e-20 -2.383890e-17) (3.050179e-21 -1.044970e-20 -1.466058e-09) (0.000000e+00 0.000000e+00 0.000000e+00))
0.02          	((1.729732e-01 1.945238e-08 3.517237e-21) (1.570168e-01 6.728376e-12 -1.165024e-21) (0.000000e+00 0.000000e+00 0.000000e+00)) ((-2.123222e-20 -1.008517e-20 8.810498e-17) (2.865993e-21 -9.602526e-21 -1.989087e-09) (0.000000e+00 0.000000e+00 0.000000e+00))
0.0225        	((1.610244e-01 2.003559e-08 3.511494e-21) (1.453915e-01 -1.830390e-11 -1.248309e-21) (0.000000e+00 0.000000e+00 0.000000e+00)) ((-1.955312e-20 -9.363130e-21 2.484136e-18) (2.702597e-21 -8.892840e-21 -2.401129e-09) (0.000000e+00 0.000000e+00 0.000000e+00))
0.025         	((1.506902e-01 2.052620e-08 3.506138e-21) (1.355670e-01 -4.472511e-11 -1.318650e-21) (0.000000e+00 0.000000e+00 0.000000e+00)) ((-1.810446e-20 -8.738761e-21 7.607711e-17) (2.557773e-21 -8.293246e-21 -2.711273e-09) (0.000000e+00 0.000000e+00 0.000000e+00))
