# Forces      
# CofR        : (0.000000e+00 0.000000e+00 0.000000e+00)
# Time        forces(pressure viscous porous)	moments(pressure viscous porous)
0.005         	((1.672758e+01 1.207796e-08 2.205930e-19) (8.320816e-01 4.512359e-11 -3.057846e-20) (0.000000e+00 0.000000e+00 0.000000e+00)) ((-1.633462e-18 -1.199419e-18 3.881335e-15) (8.827815e-20 -4.892941e-20 -2.927041e-12) (0.000000e+00 0.000000e+00 0.000000e+00))
0.01          	((2.850664e-01 -1.066171e-08 -7.671867e-21) (6.002458e-01 -6.572498e-10 -1.121602e-23) (0.000000e+00 0.000000e+00 0.000000e+00)) ((-2.441970e-20 -1.993866e-20 4.160419e-15) (2.147482e-22 1.389850e-20 -5.518764e-09) (0.000000e+00 0.000000e+00 0.000000e+00))
0.015         	((4.577486e-01 -4.811714e-09 2.475605e-22) (4.709424e-01 -1.288584e-09 -8.307411e-22) (0.000000e+00 0.000000e+00 0.000000e+00)) ((-4.270353e-20 -3.173627e-20 -1.626303e-15) (1.425308e-21 1.211186e-20 -4.309509e-09) (0.000000e+00 0.000000e+00 0.000000e+00))
0.02          	((3.808432e-01 4.784870e-08 -1.363364e-21) (3.891141e-01 -8.302523e-10 -5.997042e-22) (0.000000e+00 0.000000e+00 0.000000e+00)) ((-3.494550e-20 -2.656425e-20 -1.228100e-15) (1.389789e-21 1.110932e-20 -5.033296e-09) (0.000000e+00 0.000000e+00 0.000000e+00))
0.025         	((3.341304e-01 3.471224e-08 -2.272086e-21) (3.337463e-01 -3.993030e-10 -4.795237e-22) (0.000000e+00 0.000000e+00 0.000000e+00)) ((-3.028449e-20 -2.336832e-20 -6.224710e-16) (1.349273e-21 1.016720e-20 -5.233162e-09) (0.000000e+00 0.000000e+00 0.000000e+00))
0.03          	((2.981888e-01 3.441458e-08 -2.899130e-21) (2.948344e-01 -1.378732e-11 -4.083216e-22) (0.000000e+00 0.000000e+00 0.000000e+00)) ((-2.671941e-20 -2.088721e-20 -4.979503e-16) (1.282546e-21 9.366763e-21 -5.188994e-09) (0.000000e+00 0.000000e+00 0.000000e+00))
0.035         	((2.706415e-01 2.999035e-08 -3.332939e-21) (2.664362e-01 2.872971e-10 -3.686631e-22) (0.000000e+00 0.000000e+00 0.000000e+00)) ((-2.400114e-20 -1.897646e-20 -5.105135e-16) (1.212846e-21 8.694531e-21 -5.007238e-09) (0.000000e+00 0.000000e+00 0.000000e+00))
0.04          	((2.491960e-01 2.862126e-08 -3.639872e-21) (2.449576e-01 5.681748e-10 -3.487313e-22) (0.000000e+00 0.000000e+00 0.000000e+00)) ((-2.189377e-20 -1.748445e-20 -3.467516e-16) (1.148092e-21 8.130406e-21 -4.759978e-09) (0.000000e+00 0.000000e+00 0.000000e+00))
0.045         	((2.321804e-01 2.739008e-08 -3.861018e-21) (2.281704e-01 8.035677e-10 -3.413118e-22) (0.000000e+00 0.000000e+00 0.000000e+00)) ((-2.022875e-20 -1.629821e-20 -1.845092e-16) (1.090745e-21 7.654607e-21 -4.489602e-09) (0.000000e+00 0.000000e+00 0.000000e+00))
0.05          	((2.184105e-01 3.030503e-08 -4.022182e-21) (2.146613e-01 1.864849e-09 -3.418808e-22) (0.000000e+00 0.000000e+00 0.000000e+00)) ((-1.888649e-20 -1.533646e-20 -3.550915e-16) (1.040770e-21 7.249833e-21 -4.860514e-10) (0.000000e+00 0.000000e+00 0.000000e+00))
0.055         	((2.070521e-01 3.067679e-08 -4.143109e-21) (2.035127e-01 2.744632e-09 -3.474282e-22) (0.000000e+00 0.000000e+00 0.000000e+00)) ((-1.778438e-20 -1.454252e-20 -4.234174e-16) (9.977456e-22 6.902404e-21 2.156980e-09) (0.000000e+00 0.000000e+00 0.000000e+00))
0.06          	((1.975180e-01 3.008414e-08 -4.235433e-21) (1.941135e-01 3.411053e-09 -3.561620e-22) (0.000000e+00 0.000000e+00 0.000000e+00)) ((-1.686356e-20 -1.387577e-20 -4.982892e-16) (9.605488e-22 6.601410e-21 3.891763e-09) (0.000000e+00 0.000000e+00 0.000000e+00))
0.065         	((1.893902e-01 2.505216e-08 -4.306834e-21) (1.860466e-01 3.879463e-09 -3.669199e-22) (0.000000e+00 0.000000e+00 0.000000e+00)) ((-1.608098e-20 -1.330709e-20 -4.896816e-16) (9.281306e-22 6.338223e-21 5.013444e-09) (0.000000e+00 0.000000e+00 0.000000e+00))
0.07          	((1.823668e-01 3.233344e-08 -4.362126e-21) (1.790199e-01 4.288790e-09 -3.789738e-22) (0.000000e+00 0.000000e+00 0.000000e+00)) ((-1.540660e-20 -1.281539e-20 -4.024016e-16) (8.997284e-22 6.106053e-21 5.717515e-09) (0.000000e+00 0.000000e+00 0.000000e+00))
0.075         	((1.762247e-01 2.923290e-08 -4.406213e-21) (1.728234e-01 4.563344e-09 -3.917086e-22) (0.000000e+00 0.000000e+00 0.000000e+00)) ((-1.481866e-20 -1.238539e-20 -3.983579e-16) (8.746401e-22 5.899468e-21 6.132263e-09) (0.000000e+00 0.000000e+00 0.000000e+00))
0.08          	((1.707950e-01 2.893830e-08 -4.442406e-21) (1.673022e-01 4.761825e-09 -4.047604e-22) (0.000000e+00 0.000000e+00 0.000000e+00)) ((-1.430033e-20 -1.200561e-20 -3.924829e-16) (8.524923e-22 5.714403e-21 6.347448e-09) (0.000000e+00 0.000000e+00 0.000000e+00))
0.085         	((1.659530e-01 2.823211e-08 -4.471489e-21) (1.623398e-01 4.898883e-09 -4.179964e-22) (0.000000e+00 0.000000e+00 0.000000e+00)) ((-1.383903e-20 -1.166704e-20 -3.838359e-16) (8.326750e-22 5.547469e-21 6.423243e-09) (0.000000e+00 0.000000e+00 0.000000e+00))
0.09          	((1.616000e-01 2.771033e-08 -4.495863e-21) (1.578464e-01 4.967113e-09 -4.311821e-22) (0.000000e+00 0.000000e+00 0.000000e+00)) ((-1.342540e-20 -1.136301e-20 -4.109516e-16) (8.148897e-22 5.395952e-21 6.402035e-09) (0.000000e+00 0.000000e+00 0.000000e+00))
0.095         	((1.576615e-01 2.696121e-08 -4.515562e-21) (1.537518e-01 5.007911e-09 -4.442854e-22) (0.000000e+00 0.000000e+00 0.000000e+00)) ((-1.305127e-20 -1.108790e-20 -3.353403e-16) (7.987446e-22 5.257702e-21 6.313485e-09) (0.000000e+00 0.000000e+00 0.000000e+00))
0.1           	((1.540772e-01 2.660247e-08 -4.531085e-21) (1.499996e-01 5.029741e-09 -4.572812e-22) (0.000000e+00 0.000000e+00 0.000000e+00)) ((-1.271131e-20 -1.083755e-20 -3.768365e-16) (7.839942e-22 5.130898e-21 6.178920e-09) (0.000000e+00 0.000000e+00 0.000000e+00))
0.105         	((1.507953e-01 2.607322e-08 -4.544611e-21) (1.465443e-01 5.028052e-09 -4.699834e-22) (0.000000e+00 0.000000e+00 0.000000e+00)) ((-1.240081e-20 -1.060880e-20 -3.713748e-16) (7.706547e-22 5.014105e-21 6.013677e-09) (0.000000e+00 0.000000e+00 0.000000e+00))
0.11          	((1.477779e-01 2.548004e-08 -4.555796e-21) (1.433486e-01 5.006580e-09 -4.824475e-22) (0.000000e+00 0.000000e+00 0.000000e+00)) ((-1.211569e-20 -1.039869e-20 -3.531433e-16) (7.584200e-22 4.906070e-21 5.828114e-09) (0.000000e+00 0.000000e+00 0.000000e+00))
